geneA,geneB,weight
HK2,PKM,0.9877906714676604
GPR183,MS4A1,0.9914343898877438
CD274,TIGIT,0.9728871720242471
CXCL3,CXCL6,0.9846229169696247
LY9,SH2D1A,0.9571544871266894
GSTA2,GSTP1,-0.9824765202161229
FN1,PLAUR,0.9828308159678342
FPR1,LILRB2,0.9877399665062584
CORO1A,WAS,0.9267653338274572
FZD7,RSPO3,-0.9811894308044862
AKT1,CRTC2,0.9382151087630001
NKG7,TYROBP,0.9842169308238864
CYP4F2,PLA2G10,-0.9819176217229358
PDZK1,PDZK1IP1,-0.9863290494003417
JAK3,PTPRC,0.9916310008859708
CD4,CD9,-0.8991469486486507
CD4,ICAM1,0.9872149690012316
CDA,PNP,-0.9334365234684616
CYP2D6,SLC35A2,0.9011134231621918
TNF,TNFRSF13C,0.9678589941389439
PLA2G12B,PLB1,0.9878878586283464
CD274,TGFB1,0.9969037164617445
CD7,MME,-0.9699893527795568
CYP2C9,CYP4F2,0.9894741078842629
CCK,CDH1,-0.8892478205725936
CYP4F3,PLA2G12B,0.9303085238071409
CCL20,CXCL3,-0.9992999344062168
CPS1,OAT,0.9916292049921339
BEST4,OTOP2,0.9705238131911659
ADAM15,SRC,0.9887181857782371
MTTP,NPC1L1,0.9645676877053221
CXCR1,JAK3,0.9812518320805262
FPR1,MARCO,-0.9247530182095007
CD40,MS4A1,0.9216497359953122
CXCL8,TNFAIP6,0.9874331335927619
FCGR3A,GZMA,-0.9009176653488327
CYP2C18,GSTA1,0.9880503778929618
APOE,CXCL8,0.992889012168121
LCN2,SAA1,0.9896740184561392
BTLA,CD69,0.8595903784361867
CXCL8,FGF7,0.9892131482230614
FN1,MMP7,0.9871527894550821
CXCL8,PLAU,-0.8392549166081125
FCGR2A,VWF,0.9859349218496711
BACH2,LEF1,0.9167788190989986
CCL19,VCAM1,0.925375099189706
EIF1AY,RPS4X,-0.9661972084222489
BTK,CD52,0.9897966326694483
CYP4F2,UGT2B17,0.9643241239107703
LPCAT4,PLA2G2A,-0.7925174458623188
IL1B,IL23A,0.9745878801889667
CD19,CD274,0.9830791171143303
CXCR2,GRK2,0.9854411649331565
CXCL1,TIMP1,0.9871682615215828
KDM5D,ZFY,0.925873228362848
CCL4,HLA-DRB1,0.9837750655832534
CXCL6,IL1B,0.9846272397932261
CCL28,CXCR4,0.9040442000091641
CXCR1,TNF,0.9934774387921801
IFI44,IFITM1,0.7016626594847789
CA9,CXCR4,-0.8729088870629883
CXCL13,SRC,0.9741703461870914
CSF3R,SOCS3,0.9866841526588559
CCR7,ICAM1,0.9766739072534928
CXCR1,ITGB2,0.7000735001496553
MMP3,SAA1,0.9880338111881444
BATF,MYC,-0.7623692128850749
LYL1,SPI1,0.9884885409052135
CCL4,GZMB,0.9864981441779452
GZMA,PTPRC,-0.8881745153384146
COL18A1,LAMA1,-0.9921129278119889
HCST,NKG7,0.9822704942628578
CD38,FCGR2B,0.9843197643775973
AKT1,TIMP1,-0.9870964937419043
CXCL1,CXCL3,0.9894229063704595
APOB,CD4,-0.9874212245577304
CD36,CD40LG,-0.9590262872093827
MT1X,MT2A,-0.9761387635217147
APOB,VWF,-0.9838650894879114
ARHGDIG,RAC2,-0.9580590430974497
CD19,IL2RG,0.9900754663480431
CXCL13,CXCL9,0.9711243764812738
ALDH1A2,BCO1,-0.9941331141893253
SRC,TAC1,-0.9553611002554513
CXCR4,IL1B,0.9153562259566966
GAS6,SOCS3,-0.9898514417675119
CD40LG,CXCL1,0.980983322261296
CXCR1,IL1B,0.989702844322827
CD40LG,TRAF1,0.9854737183684074
CD274,CD40LG,0.9754324001675867
CR1,FCGR3B,0.8965972588368656
MUC17,MUC5B,-0.9919705985828864
SNRPN,TSSC4,0.9923924301914542
CD22,CD28,0.9787030586744798
CD5,GZMB,0.9348212929043106
MYL9,SRC,0.9774225055508262
CD3E,HLA-DQA1,0.9702535444909238
CD5,IGLL5,0.9352167534331627
FABP6,SLC51A,0.9865225216987071
CXCL8,LTF,0.9866451502526449
MRPL13,RPL22L1,0.82305766013832
CCL23,CCL25,-0.9519183590318003
CD19,CD52,0.9935746360295626
ENTPD8,PDE4B,-0.9783481798360603
CD4,MUC1,0.9835610200407965
CCL2,IL15,0.7512278838328883
CCK,TAC1,-0.8023151521139616
FCGR3B,LILRB1,0.9797214100763288
APOB,MTTP,0.9881155434506391
CHAC1,GSTA1,-0.9875172474512103
CCL18,CXCL5,0.9658516354298374
ARHGDIG,RHOH,-0.8857848268117728
CTLA4,SRC,0.986857794917603
FADS2,PLA2G10,0.9813889613294208
IRF8,PAX5,-0.9927270477382424
IL2RA,IL33,0.9804685593626221
CD40,FCGR2A,0.8999648355153534
FCGR2B,TNF,0.9866076961817182
CD1C,PAX5,0.9843507444579519
ACE,TAC1,0.9822900385744245
TREM1,TYROBP,0.9902432117426417
CCL21,CXCR1,0.9377152562064184
CD79A,HLA-DOB,0.9895595260488598
MMP9,VCAM1,0.9183299438729131
PDCD1LG2,PTPRC,0.893660877400319
AKT1,PKM,-0.9757448960279538
EOMES,NKG7,0.9714046898017185
CARD11,ITK,0.8575545207025969
CD4,LILRB1,0.9900651400189996
PTPRC,VWF,0.978776210364413
CCL22,CCL4,0.979830576854902
ANPEP,CD4,-0.9887721480913035
CD3E,GNLY,0.9823141888248518
CTLA4,CXCL9,0.9649218922387217
CCL17,CXCR1,0.9947833184717131
CYP3A4,GSTP1,-0.983041243950515
CCL28,CXCL13,0.9804978932590912
GUCA2A,TMIGD1,0.9882533553721214
CD274,IL15,-0.9545680581651671
GDF15,SERPINE1,0.9775484751836196
CXCL13,TNF,0.9843907433895861
CCL4,VCAM1,0.8658091058807863
MMP2,VCAM1,0.9316010715489199
AKT1,CREB3L3,0.9863495294775476
AKT1,ATF3,-0.9743185249554318
CD274,CD3E,0.9938198239198458
ADAM12,MMP9,0.9813138740304578
CD38,CD52,0.9843104120511906
KRT1,TRPV3,-0.9807590222548066
CD274,IL1B,0.9842149029336055
CCL4L2,TNF,0.9620647384875786
IL1B,SOCS3,0.9857041671454528
CYP2B6,UGT2B17,0.9836358941147438
GNG2,RASD1,0.9675747976325052
CXCL10,LTA,0.9840115564831825
CASP5,IL1B,0.9727546546806861
PLA2G10,PLB1,-0.9861080250325547
CD40LG,TNFRSF9,0.9828391398724724
RPL22L1,RPS4X,-0.7276257915830486
CTLA4,JAK3,0.9645312317730225
CD19,TCL1A,0.9883254159494684
LTB,NFKB2,0.9435833008198503
ALDOB,SLC2A2,0.9888654225457196
CYP2B6,PTGS2,-0.9896202504608387
SDHB,SDHC,0.989185479861332
CYP2C19,PLA2G10,-0.9793664639731762
IL1B,PTGS2,0.9844990533172043
CDH1,RPLP0,-0.9730234266728716
