geneA,geneB,weight
GSTA2,GSTP1,-0.7480052844021897
FPR1,LILRB2,0.9480755170857632
CORO1A,WAS,-0.8522416944231119
NKG7,TYROBP,0.7795811214582146
CYP4F2,PLA2G10,-0.9085099465941692
PDZK1,PDZK1IP1,-0.9328112137287677
CD4,CD9,-0.7929909920298295
CD4,ICAM1,0.7032629960534106
TNF,TNFRSF13C,-0.8618775052743153
CD7,MME,-0.7462106131044138
CYP4F3,PLA2G12B,0.7910968671375893
CPS1,OAT,0.9862336169103407
BEST4,OTOP2,0.8473356915629817
FPR1,MARCO,0.7560347990116931
CD40,MS4A1,0.7334494049536056
FCGR3A,GZMA,-0.7076673342480763
CYP2C18,GSTA1,0.9256456573071027
LCN2,SAA1,0.9423858261782754
DDX3Y,KDM5D,0.9731524871389187
EPHA1,EPHA2,0.9660895384734514
FN1,MMP7,0.7795926144854699
MRPL13,RPS4Y1,0.9645381202164536
BACH2,LEF1,0.9467664552788347
CCL11,CCL15,0.7518845150992512
EIF1AY,RPS4X,-0.8867122024597196
CYP4F2,UGT2B17,0.9142030182485766
CXCR2,GRK2,0.8420772118480236
KDM5D,ZFY,0.9252782851062621
CCL4,HLA-DRB1,0.7757708189040584
CXCL6,IL1B,0.7429804577735296
CCL28,CXCR4,-0.7754911369672322
IFI44,IFITM1,-0.9267611493777508
CA9,CXCR4,0.8525944679385373
CASP8,DFFB,0.969200451400037
APOA4,APOD,0.7525052908145806
CCL4,GZMB,0.7169340094910372
CD38,FCGR2B,0.7482559980899447
APOB,CD4,-0.8511873675179802
MT1X,MT2A,0.8956007255707189
APOB,VWF,-0.7354689250921392
ALDH1A2,BCO1,-0.8592991860783689
GAS6,SOCS3,0.9417863971876406
DGAT2,SREBF1,-0.7078137007668777
CR1,FCGR3B,-0.8874967657498868
MUC17,MUC5B,-0.8131063003168426
SNRPN,TSSC4,0.9595824180734086
CD22,CD28,0.935953829920952
MYL9,SRC,0.846390908721304
CD3E,HLA-DQA1,0.7592011339831815
APOD,APOE,0.8017190713583962
CD19,CD52,0.796108317889512
CD4,MUC1,0.8949335680970748
DDX3Y,USP9Y,0.7694028137299584
FADS2,PLA2G10,-0.7635737592703703
IRF8,PAX5,0.9030273046906414
IFI44L,MRPL36,0.9115522787711272
MMP9,VCAM1,0.7583710560579263
PDCD1LG2,PTPRC,0.8286054492886915
CARD11,ITK,0.919798332846464
CD4,LILRB1,0.7745867023951662
CCL22,CCL4,0.7489987400817275
ANPEP,CD4,-0.7573656631123769
CCL17,CXCR1,0.7515062526905405
CYP3A4,GSTP1,-0.9124287057773525
GDF15,SERPINE1,-0.78265619404168
ADAM12,MMP9,0.7322231615084933
IGF2R,PLAUR,0.7151847931885864
CDH1,RPL39,0.7053041969337062
IL1B,SOCS3,0.7975511295212037
CYP2B6,UGT2B17,0.8035976918621184
RPS4Y1,USP9Y,0.7205931258105713
ALDOB,SLC2A2,0.8120899372764077
SDHB,SDHC,0.9533217898663734
CDH1,RPLP0,-0.8696710986093953
CXCR1,FCGR3B,0.7728244948358642
AICDA,PAX5,0.9312276251215904
CD3E,FCGR3B,0.7715864284903186
CCL20,CCL8,0.8110394835570247
PDZK1,SLC16A9,0.785444622087103
CCL22,CCL25,0.9596538695288915
OSM,OSMR,0.8836372219559099
CCL11,TNF,0.7734309075734862
AQP10,GK,0.7939718588254087
APOE,LILRB4,0.8617212086391967
CTLA4,IL2RB,0.8912950378256292
CDH1,NCSTN,0.8921348116622134
EIF1AY,ZFY,0.8338654719360814
CXCL9,GBP5,0.7507050577914505
CHCHD10,CHCHD3,-0.774006814124244
CD22,PTPRC,0.8640418871469023
CXCL3,CXCL5,0.7159636651048764
GNB2,RGS13,0.7710938007150583
HLA-DQA1,SLC26A3,-0.9093720807495174
ICOS,PTPRC,0.7752421518400978
PLA2G12B,SELENOI,0.71614087486886
CYP2J2,CYP4F2,0.9775303738748191
BTK,PIK3CD,0.8612385544020053
CDH1,MUC1,-0.9779682482738727
FCRLA,MS4A1,0.9618687357670106
CCL17,IL33,0.9250173416373997
GABPA,TFB2M,0.9507072074214815
BMP4,GREM2,-0.7161701296369066
ITK,PLCG2,0.9280285849275055
CD19,VPREB3,0.7262127369947129
SELENOI,SELENOP,0.9786020857038674
FCN1,S100A9,0.7896905829183376
ITK,RHOH,0.924289325938025
GZMB,NKG7,0.920183655707495
CORO1A,FERMT3,-0.9261039053404899
CD9,ITGA5,-0.9398255426762165
FOS,MAP2K1,0.9337527513620698
EPSTI1,IFI44,0.9884061939055194
PCK1,PDK4,0.9172741460174845
APOE,TYROBP,0.8508956900508436
CASP8,PTGS2,-0.7021233891848923
