geneA,geneB,weight
HK2,PKM,-0.728442990580814
GPR183,MS4A1,0.9290419060273994
CD274,TIGIT,0.7630998400240395
CXCL3,CXCL6,0.9665161999797207
LY9,SH2D1A,0.9692090853208821
CORO1A,WAS,0.7146315961484815
AKT1,CRTC2,0.7589199812000756
NKG7,TYROBP,0.759684776475183
JAK3,PTPRC,0.9182523875841566
CDA,PNP,0.7787247149267597
CCL20,CXCL3,0.9128500125803893
CXCL1,TNFSF11,0.9237261199430045
CPS1,OAT,0.9261944260021913
BEST4,OTOP2,0.8219557161658946
ADAM15,SRC,0.7045296917984122
MTTP,NPC1L1,0.8851600881598934
CXCR1,JAK3,0.7054863802376512
CD40,MS4A1,0.9750744307056246
CXCL8,TNFAIP6,0.9369551519813308
FCGR3A,GZMA,0.8519030778284423
LCN2,SAA1,0.805120917647818
BTLA,CD69,0.9368851969618035
EPHA1,EPHA2,0.9076006325975914
CXCL8,FGF7,0.9439679514944735
MRPL13,RPS4Y1,-0.8379791616067724
CXCL8,PLAU,0.9702364874159386
BACH2,LEF1,0.966278715879055
JUND,MYC,-0.7361440633556665
BTK,CD52,0.9498281788321015
CYP4F2,UGT2B17,0.9087853878846459
LPCAT4,PLA2G2A,-0.8579496461085245
IL1B,IL23A,0.9537806701384245
CD19,CD274,0.7398684707892272
CXCR2,GRK2,-0.8701243224440436
CXCL6,IL1B,0.9831036852718593
CA9,CXCR4,0.8229783344767884
CASP8,DFFB,0.982521576533845
CSF3R,SOCS3,0.8306752787002121
CXCR1,ITGB2,0.9011803965539912
MMP3,SAA1,0.9487810147332414
BATF,MYC,0.8980952474794693
GZMA,PTPRC,0.8310982344214013
CD38,FCGR2B,0.9409490796224851
CXCL1,CXCL3,0.976899323279488
MT1X,MT2A,0.772036646456255
ARHGDIG,RAC2,-0.8318965449034448
CXCL13,CXCL9,0.8870201529296968
ALDH1A2,BCO1,0.8020837119187948
PFN1,TLR10,0.7827026901606619
CXCR4,IL1B,0.799460723497928
GAS6,SOCS3,0.7937868763995292
DGAT2,SREBF1,-0.8570154895011675
CD40LG,CXCL1,0.7817032470403305
CXCR1,IL1B,0.9683665784048336
CD40LG,TRAF1,0.9143292598366946
CD274,CD40LG,0.8382993573281793
CR1,FCGR3B,0.9397462590601234
MUC17,MUC5B,0.9917527145434271
SNRPN,TSSC4,0.9066333430546489
CD22,CD28,0.8728639023767006
MYL9,SRC,0.8371711621265834
CD5,IGLL5,-0.8921370957519383
FABP6,SLC51A,0.7067344823148677
CXCL8,LTF,0.9222727678176074
MRPL13,RPL22L1,0.9494806042311884
CD19,CD52,0.9768302202974309
ENTPD8,PDE4B,-0.8358364206153215
CCL2,IL15,0.9510865671428261
FCGR3B,LILRB1,0.8706289404081665
APOB,MTTP,0.715629350043971
CCL2,CCL4L2,0.9067175320954022
CCL18,CXCL5,0.9038120916715254
ARHGDIG,RHOH,-0.89270627000503
CTLA4,SRC,-0.7849166831995068
DDX3Y,USP9Y,0.9530185083624796
IRF8,PAX5,0.9707651731715045
IL2RA,IL33,0.9267102240495605
CD40,FCGR2A,0.8675670175268239
CD1C,PAX5,0.96988434290374
CD79A,HLA-DOB,0.7680240405057382
MMP9,VCAM1,0.9657912216093817
PDCD1LG2,PTPRC,0.9599003175628924
CARD11,ITK,0.9678578302971128
CTLA4,CXCL9,0.90475859618527
CCL2,CXCL5,0.9422962735277024
CD274,IL15,0.8193497017964078
GDF15,SERPINE1,-0.7552149122994777
CCL4,VCAM1,0.885156972373409
MMP2,VCAM1,-0.7527750580892822
AKT1,CREB3L3,-0.7171343673965052
ADAM12,MMP9,0.9518099841561953
CD38,CD52,0.9160104969275547
IGF2R,PLAUR,0.7938729881778093
CDH1,RPL39,0.846496806305485
CD274,IL1B,0.9103934754685715
IL1B,SOCS3,0.9737198748694958
ACSL1,SCD,0.8701013856441122
MYC,ZBTB16,-0.7439197503735678
CXCL10,LTA,0.835497198324685
CD40LG,TNFRSF9,0.9204039680660352
CTLA4,JAK3,0.8450590072735863
CD19,TCL1A,0.8891424504417661
RPS4Y1,USP9Y,0.834236875692377
IFNGR1,PIK3CD,0.9641391687105968
LTB,NFKB2,0.9300386739966912
CYP2B6,PTGS2,-0.7113140685696817
SDHB,SDHC,0.8934770266576922
IL1B,PTGS2,0.9345992094498796
CXCR1,FCGR3B,0.9620539052191053
AICDA,PAX5,0.9676352507586592
AKT1,CYFIP2,0.7767687732287899
CCL20,CCL8,0.86738549146423
CCL8,CXCL3,0.7492708644250313
CR2,FCER2,0.7928912753375511
MNDA,TLR8,0.9689420346850368
IL15,IL20RA,0.879106621968865
FCGR3B,PTPRC,0.8980017579441423
OSM,OSMR,0.9774992003705884
CTLA4,IL2RB,0.9774648699297996
CDH1,NCSTN,0.9527717374307824
EIF1AY,ZFY,0.937339378795792
CXCL9,GBP5,0.9710126005419896
CHCHD10,CHCHD3,-0.7875132074791962
CD22,PTPRC,0.9914411752759685
CXCL3,CXCL5,0.9646871166002733
GNB2,RGS13,0.9642837195273444
ALDH18A1,PSAT1,0.8063728751055032
ICOS,PTPRC,0.9556691486066452
C3,PLAU,0.7658435438812027
CYP2J2,CYP4F2,0.8224447152789262
ACKR3,CXCL8,0.926509456428784
BTK,PIK3CD,0.9782858339704179
CDH1,MUC1,0.9055872182618544
FCRLA,MS4A1,0.9944326779276049
CCL17,IL33,0.7778577360230428
CCL20,CXCL8,0.9480243001864671
GABPA,TFB2M,0.9798033757925176
CD19,TNFRSF9,0.9279766653122197
ITK,PLCG2,0.9731326392834085
CTLA4,IL1B,0.9444683287728686
CD79B,TNFRSF13C,0.9775062189017099
CD19,VPREB3,0.9609948169632005
EAF1,POLR2E,-0.8089736516778775
NTS,PYY,0.8815699240260476
HLA-C,HLA-DOB,-0.9647184450312211
GNLY,TIGIT,0.7154481292281979
C4BPB,CR1,0.9650888182450039
SELENOI,SELENOP,0.8519104609626029
FCGR2B,FCGR3A,0.9351483350531151
TNFRSF12A,TRAF1,0.8430786647668841
