geneA,geneB,weight
CXCL3,CXCL6,0.9490230306425596
FPR1,LILRB2,0.835636497343757
CORO1A,WAS,0.9697883627888273
AKT1,CRTC2,0.8363278717543984
CYP4F2,PLA2G10,0.78480746464207
JAK3,PTPRC,0.9302519893890784
CD4,CD9,0.9928705659584691
CD4,ICAM1,0.9713149297584626
CDA,PNP,0.8539904291585811
CYP2D6,SLC35A2,-0.9826856745656385
TNF,TNFRSF13C,0.7966567128512528
PLA2G12B,PLB1,0.7985826017751347
CD274,TGFB1,0.9822638376405582
CYP2C9,CYP4F2,0.9149652156318455
CCK,CDH1,-0.9783271683441132
CYP4F3,PLA2G12B,0.9878648415299903
CCL20,CXCL3,0.9356393492826858
CXCL1,TNFSF11,0.9492251141889053
CPS1,OAT,0.8919913051028544
ALYREF,EIF4A3,0.9665703407000416
BEST4,OTOP2,0.9870734481574028
ADAM15,SRC,0.880045202938811
MTTP,NPC1L1,-0.9836362118293321
CD40,MS4A1,0.8414863609954141
CXCL8,TNFAIP6,0.8948499128822048
APOE,CXCL8,0.9099010555491895
LCN2,SAA1,0.8959753745033331
DDX3Y,KDM5D,0.8080982378635008
BTLA,CD69,0.9867441419093639
CXCL8,FGF7,0.7953061963117801
MRPL13,RPS4Y1,-0.7636224656486447
NAPRT,PNP,-0.8642052447605396
CXCL8,PLAU,0.9130665860680754
BACH2,LEF1,-0.8095217784295542
EIF1AY,RPS4X,-0.9357037492422954
IL1B,IL23A,-0.9533313698136143
CXCR2,GRK2,0.7695761727235582
CXCL1,TIMP1,0.9750216437609339
CCL4,HLA-DRB1,0.9780953754595008
CXCL6,IL1B,0.9834123532315144
CCL28,CXCR4,0.8288814646416978
CXCR1,TNF,0.7642150837512409
CD3E,IL2RB,0.8520652138572211
CASP8,DFFB,-0.8868306749080478
CCR7,ICAM1,0.9763279098579486
CXCR1,ITGB2,0.740140372385191
LYL1,SPI1,-0.8820639628983099
CCL4,GZMB,0.9535399303990865
GZMA,PTPRC,0.7158816284909225
COL18A1,LAMA1,-0.7837855326695119
CXCL1,CXCL3,0.94119554661492
APOB,CD4,-0.9814813839380769
CD36,CD40LG,-0.9919909169918376
ARHGDIG,RAC2,-0.9257594596671782
CXCL13,CXCL9,0.9035386211286415
ALDH1A2,BCO1,0.7248296803670423
PFN1,TLR10,0.8979856847283298
CXCR4,IL1B,0.7439528787037277
GAS6,SOCS3,0.9149466889127899
DGAT2,SREBF1,-0.9349401678927243
CD40LG,CXCL1,0.9874693939647039
CXCR1,IL1B,0.8082309469270491
CD274,CD40LG,0.9799439235969793
SNRPN,TSSC4,-0.9990683067804124
CD5,GZMB,0.8164267121720712
FABP6,SLC51A,0.9813530028306164
APOD,APOE,-0.827966729805947
MRPL13,RPL22L1,0.9848230414604005
CD19,CD52,0.8408244479622158
CCL2,IL15,0.759142312410992
FCGR3B,LILRB1,0.862540450502798
APOB,MTTP,0.9705065164223974
CCL2,CCL4L2,0.8949208326705165
CCL18,CXCL5,0.8575905107907111
ENPP3,NAPRT,0.9513830315180244
ARHGDIG,RHOH,-0.7611223681585878
FADS2,PLA2G10,0.7761474995697996
IRF8,PAX5,0.8222750694778402
IL2RA,IL33,0.9491593798356489
IFI44L,MRPL36,0.9580896549722787
CD40,FCGR2A,0.9784266850931673
FCGR2B,TNF,0.8471007972533197
CD1C,PAX5,0.9329679350517448
TNFRSF12A,TNFSF12,0.9823655422988813
CD79A,HLA-DOB,0.98235855459085
MMP9,VCAM1,0.8161714001274208
PDCD1LG2,PTPRC,0.7171007493394558
RPS28,SEC61G,0.9900651064742222
CARD11,ITK,-0.9330826625111426
CD4,LILRB1,0.9163425708277374
CCL22,CCL4,0.901157180541133
ANPEP,CD4,0.8300667468242732
CCL17,CXCR1,0.7515062526905405
CCL28,CXCL13,0.9468968458389933
GUCA2A,TMIGD1,0.8447789085813875
CCL2,CXCL5,0.9614963057746566
GDF15,SERPINE1,0.9819459327885129
CXCL13,TNF,0.8909644621935376
CCL4,VCAM1,0.9754490993638443
MMP2,VCAM1,-0.8637282087439384
AKT1,CREB3L3,-0.7113496526654776
CD274,CD3E,0.7823139139436512
CDH1,RPL39,-0.9797941270404784
KRT1,TRPV3,0.977835367958479
CD274,IL1B,0.9723328299554593
CCL4L2,TNF,0.88614251048979
IL1B,SOCS3,0.9405743207697815
EEF1D,IMP3,-0.7297658479034876
RPL39,RPLP0,-0.7938896104363875
GNG2,RASD1,0.9892307032353364
MYC,ZBTB16,-0.9196206706340767
CXCL10,LTA,0.8966722342725725
CD40LG,TNFRSF9,-0.8911265621599059
RPL22L1,RPS4X,0.9984599677824993
RPS4Y1,USP9Y,0.8148949976111047
LTB,NFKB2,-0.8091420741233614
ALDOB,SLC2A2,0.7784436374988662
CYP2B6,PTGS2,0.7751960008428707
SDHB,SDHC,0.9919116231537397
IL1B,PTGS2,0.9499229862677337
CDH1,RPLP0,0.9999882177120296
CXCR1,FCGR3B,0.7728244948358642
AICDA,PAX5,-0.9896931348361461
CD27,FCGR2B,0.7624617723392687
CD3E,FCGR3B,0.7331405314035953
IMP3,RPL22L1,0.925225551891899
CCL20,CCL8,-0.8366152388918375
ATF3,DUSP1,0.7909469368511817
CCL22,CCL25,0.9443570696156888
MNDA,TLR8,0.9805835337673766
FCGR3B,PTPRC,0.8259168723119448
OSM,OSMR,0.7261415879062009
AQP10,GK,-0.8022469897725837
APOE,LILRB4,0.9675795564754441
ABCB1,CYP2C9,-0.8617626063619904
CDH1,NCSTN,0.9853072016832701
CXCL9,GBP5,0.9505679070006086
CYP2C9,CYP4F3,-0.9574010889833935
CD27,CD274,0.954393900034855
CHCHD10,CHCHD3,0.9603937715312131
CXCL3,CXCL5,0.9296127347658216
GNB2,RGS13,0.9621569404290274
HLA-DQA1,SLC26A3,-0.953046052244593
ALDH18A1,PSAT1,0.9655923345312771
FCN1,MNDA,0.9642744135938482
C3,PLAU,0.7763939250920769
CCK,CCL28,-0.9831584665310071
CD4,PTPRC,0.73552417023964
ACKR3,CXCL8,0.9137770789165879
FCRLA,MS4A1,0.855354745032299
CCL17,IL33,0.9098566237900363
CCL20,CXCL8,0.8882215485394684
CD19,TNFRSF9,0.7004333935178814
ITK,PLCG2,0.9195089771235356
CD79B,TNFRSF13C,0.9238544475887884
HLA-C,HLA-DOB,0.9884506777500716
FOXF2,TPPP,-0.9869662847177618
CD4,S1PR1,0.98205465029348
ABCB1,UGT1A1,0.9861317098787542
IL1B,NLRP2,-0.7231943533484582
PLAU,TIMP1,0.9723008570304724
TNFRSF12A,TRAF1,0.7498599025966791
CD24,CR2,0.8132725279910149
FSCN1,ZYX,0.984146583576506
ITK,RHOH,0.7531466225297531
GZMB,NKG7,0.9416490372973206
IL1B,MMP2,-0.8696157413473123
SERPINE1,TIMP1,0.9464477277098847
CORO1A,FERMT3,0.9859089155116098
IL1B,TNFSF13B,0.9253996270999568
FOS,MAP2K1,0.7514132551312336
EPSTI1,IFI44,0.7062022129857282
GPT,TGFB1,-0.8492397468248327
CASP8,PTGS2,0.9205122340741805
ABCC2,SLC51B,0.9866723375018607
ITK,LAT,-0.9937582617545597
GABPA,MYC,0.8055923072911878
ARSB,ARSL,-0.8284318249082694
NDUFA13,SDHC,0.9999283651177799
RPL39,SEC61G,-0.985123121380423
MADCAM1,SELL,0.7802862214804633
PKLR,TKT,0.7936971850769178
IMP3,MRPL36,0.933900958851883
CD38,TNFRSF9,0.7420679796479248
CD48,ICOS,-0.7282247324027176
CD1C,CD40,0.9304867417018629
OAT,THNSL2,-0.9341259091182058
GUCA2A,SLC26A3,0.8282429525849496
APOE,SERPINE1,0.9646766434255247
ABCG8,CETP,-0.7107129314316113
CCL21,CCL28,0.9374887722967635
CASP9,MMP9,0.8125705907066415
CCR7,S1PR1,0.987050256225146
ESPL1,STAG3,0.8372755414253712
CLEC4E,TLR8,0.9592277595972297
CASP9,HMOX1,-0.9427447507359069
CCL2,FCGR2A,0.9699494076314804
CCL17,CXCR2,0.9150398633968146
ACKR3,CCL21,0.863263895379473
CD37,CD53,0.967745410451865
GNB2,VIPR1,-0.9678452183352877
PFN1,WAS,0.9661323328498699
CXCL1,MMP7,-0.9667535827973082
CYP2D6,SULT1A1,0.8031339993353644
CXCL8,SAA1,0.8659989906002611
GNB2,NRAS,0.9933762247688117
CCL20,CCL21,0.8503174144036927
CYP2D6,UGT1A1,0.9859471229748225
CYP2D6,MAOB,-0.9423855028948217
FOS,SST,0.840079960256715
CXCL10,CXCR2,0.7862386551178316
SOCS3,TGFB1,0.9025264012574633
FCGR3B,MME,-0.9700872519112828
RPS4X,RPS7,0.9939027356405894
AQP10,AQP9,0.7815887862028691
CXCL13,MMP9,0.846550543685212
AKT1,TXN,0.7812206891862874
CD28,CD4,0.9785089137839568
CCL4,CXCL8,0.8620532627181665
CDH1,PTPRC,0.8491241306605917
ATF3,HSPA1A,0.7724780843099031
AICDA,CD40,-0.9342071348758161
CD40,FCGR2B,0.8546558452189447
FCRLA,HOXA9,0.7234019923199928
IGLL5,MYC,-0.7141169094314797
MMP9,PTGS2,0.7077528787276741
HK2,SLC2A3,0.8464723957467003
SELL,TLR8,0.7255242689633903
GZMA,IL2RB,0.912842697127586
AQP10,AQP8,0.8951500497386622
GZMA,TNF,0.9119471321676276
