geneA,geneB,weight
GPR183,MS4A1,0.7198486298180429
CXCL3,CXCL6,0.7818951131960422
LY9,SH2D1A,0.8703135848131269
FZD7,RSPO3,0.9079540495015295
AKT1,CRTC2,0.9259911597761387
NKG7,TYROBP,0.7355467347982919
JAK3,PTPRC,0.8673441748778985
CD4,ICAM1,0.7072105774827798
CDA,PNP,0.7506540361580921
PLA2G12B,PLB1,0.8531175716443399
CYP2C9,CYP4F2,0.9484875861778448
CYP4F3,PLA2G12B,0.8584752173086238
ALYREF,EIF4A3,-0.7623626936761366
BEST4,OTOP2,0.8295937219826239
ADAM15,SRC,0.9641634022178914
MTTP,NPC1L1,0.8230617881253759
CXCR1,JAK3,-0.8152124440717594
CD40,MS4A1,0.8068774009809422
LCN2,SAA1,0.8404233067068921
GNE,PGGHG,0.8223572147679036
DDX3Y,KDM5D,0.968211109134371
BTLA,CD69,0.7749852075485115
NAPRT,PNP,0.7393326130637848
BACH2,LEF1,0.7765018393719535
CCL19,VCAM1,0.7684744893128324
LPCAT4,PLA2G2A,-0.891965614884947
KDM5D,ZFY,0.9802286061859076
IFI44,IFITM1,-0.9166315260540376
CASP8,DFFB,0.9289820903756247
MMP3,SAA1,0.8073930446351638
BATF,MYC,0.8789700922311245
HCST,NKG7,0.7830771489972912
ARHGDIG,RAC2,-0.7418712448408286
CXCL13,CXCL9,-0.8405712538596473
DGAT2,SREBF1,-0.8355049528787595
MUC17,MUC5B,0.9057460255393056
SNRPN,TSSC4,0.9204165933141737
MRPL13,RPL22L1,0.9575112083807475
CCL23,CCL25,-0.9813563936879809
ENTPD8,PDE4B,-0.8226174900453532
CCL2,IL15,0.9250376389842753
EGR2,FOS,0.7089093968039842
CCL2,CCL4L2,0.79811978730559
ARHGDIG,RHOH,-0.9574119232692693
DDX3Y,USP9Y,0.9652477947741006
IFI44L,MRPL36,0.8701711907019862
CD1C,PAX5,0.7545881454458218
TNFRSF12A,TNFSF12,0.8616225322859966
CD79A,HLA-DOB,0.7871917363988474
MMP9,VCAM1,0.7370737387281014
CCL22,CCL4,0.7660135815366239
CTLA4,CXCL9,-0.7421629974876285
CCL17,CXCR1,-0.8906944781961493
CYP3A4,GSTP1,-0.7908174285236543
CD274,IL15,0.8526769958846157
CCL4,VCAM1,0.800237047441281
AKT1,ATF3,0.8407217146593051
EEF1D,IMP3,-0.8477317115158064
CXCL10,LTA,0.7865266817777438
CTLA4,JAK3,0.798034596999527
RPS4Y1,USP9Y,0.9770904548333057
SDHB,SDHC,0.9783482143359815
CXCR1,FCGR3B,0.9507387500036254
AICDA,PAX5,0.8046885276643845
AKT1,CYFIP2,0.7035351711858921
ATF3,DUSP1,0.8982745275540018
CCL22,CCL25,-0.9037649328635238
CR2,FCER2,0.7744427995244421
AQP10,GK,0.8375172514647071
ABCB1,CYP2C9,0.8633871639625594
CDH1,NCSTN,0.7410828195537219
EIF1AY,ZFY,0.9878852112046914
CXCL9,GBP5,0.8922683509372947
CYP2C9,CYP4F3,0.8767611346856825
CHCHD10,CHCHD3,-0.7235249803935265
AKT1,CHUK,0.9472747781389577
C3,PLAU,0.7855258826273857
FCRLA,MS4A1,0.9006210256931797
GABPA,TFB2M,0.8291348176279921
