geneA,geneB,weight
HK2,PKM,-0.7883088067907901
GPR183,MS4A1,0.7101780644807002
LY9,SH2D1A,0.8446020981384197
CORO1A,WAS,-0.9477493357503511
NKG7,TYROBP,-0.9487456225408153
CYP4F2,PLA2G10,0.9141948046106537
JAK3,PTPRC,0.9002997057113687
CD4,CD9,-0.7131025436110665
TNF,TNFRSF13C,0.7372513529412039
CD274,TGFB1,-0.8913863164448849
CD7,MME,0.9669787863996667
CCL20,CXCL3,0.8321479377566757
CXCL1,TNFSF11,0.7635985474661512
BEST4,OTOP2,-0.8328366881775799
CXCL8,TNFAIP6,0.8948499128822048
CYP2C18,GSTA1,0.971402036471711
APOE,CXCL8,0.8433464802129076
LCN2,SAA1,0.9698407708542914
BTLA,CD69,0.9380767796755789
CXCL8,FGF7,-0.8578204483368486
CXCL8,PLAU,-0.9473990766290132
BACH2,LEF1,0.9428914377592014
JUND,MYC,-0.8246637732942598
CCL19,VCAM1,0.9061132862969142
BTK,CD52,0.8619355207549577
CYP4F2,UGT2B17,-0.9610222609405671
IL1B,IL23A,-0.7218319541265987
CXCR2,GRK2,-0.7763284608606837
KDM5D,ZFY,0.925873228362848
CCL4,HLA-DRB1,0.7000345099749891
IFI44,IFITM1,-0.8872823714602927
CA9,CXCR4,0.8606253021335042
CASP8,DFFB,0.8897603457301042
CSF3R,SOCS3,0.8519837100560426
BATF,MYC,0.819849523112181
HCST,NKG7,-0.9499223498288148
CD38,FCGR2B,0.8516218681170747
CXCL1,CXCL3,0.9613063172662075
APOB,CD4,0.7717422521812356
CD36,CD40LG,-0.7988562667783166
CXCL13,CXCL9,-0.8603581745465346
ALDH1A2,BCO1,0.9784058377637443
GAS6,SOCS3,0.7338148006481264
CD40LG,CXCL1,0.7617698792621715
CXCR1,IL1B,-0.7685179164714192
CD40LG,TRAF1,0.8911989611735108
CD274,CD40LG,0.9244516962934106
CD5,GZMB,0.7889233911186255
MRPL13,RPL22L1,0.7735653873471163
CD19,CD52,0.7545222499161681
CD4,MUC1,-0.9252384631281049
CCL2,IL15,0.9496232075455656
CCK,TAC1,0.9882388239324055
CHAC1,GSTA1,0.9976691132360506
ARHGDIG,RHOH,-0.7080125232249965
CCL15,CXCR2,-0.9057319590110005
DDX3Y,USP9Y,0.973679415026005
IL2RA,IL33,0.867285716886416
CD40,FCGR2A,0.89013114725731
CD1C,PAX5,0.8603284513891251
ACE,TAC1,-0.9693080114740951
TREM1,TYROBP,0.7636984769018483
CD79A,HLA-DOB,0.7210204476703821
MMP9,VCAM1,-0.938954125793213
PDCD1LG2,PTPRC,0.7611603157217744
CARD11,ITK,0.9347908034197613
CD4,LILRB1,0.8853252157456378
ANPEP,CD4,0.9222100616318216
CTLA4,CXCL9,0.9044754914477907
GUCA2A,TMIGD1,0.9462690303776387
CCL2,CXCL5,0.9366075014231441
CD274,IL15,0.9490215417982039
CCL4,VCAM1,-0.7722947760710763
ADAM12,MMP9,-0.739507731862254
CD38,CD52,0.8263692134372745
KRT1,TRPV3,0.7369805404317479
CD274,IL1B,-0.8211687215422407
IL1B,SOCS3,-0.8493121635360105
CYP2B6,UGT2B17,-0.8800209968715712
CASP5,IL1B,-0.848898042600917
RPS4Y1,USP9Y,0.976667112549617
IFNGR1,PIK3CD,0.7083468575150127
LTB,NFKB2,-0.8092130209488718
ALDOB,SLC2A2,0.910294290939842
CYP2B6,PTGS2,-0.8701679249001595
CXCR1,FCGR3B,0.950397716048768
CD28,CD7,-0.9770699637810331
ATF3,DUSP1,0.7736837875046715
MNDA,TLR8,0.9172548305346765
IL15,IL20RA,0.9684254901918337
OSM,OSMR,0.964695715855256
CTLA4,IL2RB,0.9801629581035833
CXCL9,GBP5,0.9635093259580757
CD27,CD274,-0.8584939799776569
CHCHD10,CHCHD3,-0.8053538887218471
CD22,PTPRC,0.9602894995517055
CXCL3,CXCL5,0.9330286284344343
ANPEP,CD5,-0.8777560488282097
C3,PLAU,0.790394285388241
CCK,CCL28,0.8266725602916734
CD4,PTPRC,-0.8625124920959695
CYP2J2,CYP4F2,0.9752073831887169
ACKR3,CXCL8,-0.954101506879141
BTK,PIK3CD,0.8890507566360075
FCRLA,MS4A1,0.9618687357670106
CCL17,IL33,0.809385271666589
CCL20,CXCL8,-0.9519509922903701
GABPA,TFB2M,0.8589552400813645
BMP4,GREM2,-0.9117616421725431
ITK,PLCG2,0.8295916415905707
CTLA4,IL1B,-0.8619787974326794
FOXF2,TPPP,-0.8049037398340458
SELENOI,SELENOP,0.925292500879205
ITK,RHOH,0.9627899447317796
GZMB,NKG7,0.8264047480768514
APOA4,C3,-0.8157282899444426
CXCL1,PLAUR,0.9354274984775633
EPSTI1,IFI44,0.9614498156461783
GPT,TGFB1,0.9109870441154577
APOE,TYROBP,0.8538454795342817
CASP8,PTGS2,0.8308869370261613
CXCL8,CXCR4,-0.7654666628601904
ITK,LAT,0.9026421865333465
GABPA,MYC,0.8504426712229913
ARSB,ARSL,-0.7815200771806071
PKLR,TKT,0.9565884064774984
C3,LTF,0.9330037602126378
CD38,TNFRSF9,0.814577210821078
CCR7,PTPRC,0.933896394418517
CD48,ICOS,0.8740289410851393
GUCA2A,SLC26A3,0.9121294123888793
RTN4R,ZDHHC8,0.7505831123944
CD7,FCGR3B,-0.8875421571211777
CCR7,S1PR1,0.8667029638734632
CCL2,FCGR2A,0.9307283847784527
CXCL1,MMP7,0.907824110076362
CXCL8,SAA1,-0.983134563780062
GNB2,NRAS,0.9024408070115689
AIM2,SP140,0.9468574140849351
CXCL10,CXCR2,0.924757404771083
SOCS3,TGFB1,-0.8358447927640504
FCGR3B,MME,-0.8404051709178145
AQP10,AQP9,0.7339490669564597
CXCL13,MMP9,0.8014277277093866
CTLA4,FCGR3B,0.8850049668246861
CD28,CD4,-0.9960344558032023
IFNGR1,IL23A,0.8807982326111373
CCL19,TNFSF13B,0.9394806568049182
HK2,SLC2A3,0.7714270588499478
GZMA,IL2RB,0.8482228291906819
CD83,LAMP3,0.8727610030411319
AQP10,AQP8,0.7184463235015407
ANK1,DTX1,0.8309037215174582
IL20RA,OSM,0.9256923586322241
APOA1,CD36,0.8901717504596552
CD79B,PTPRC,0.8772113192767012
MT1M,MT1X,0.7614447037554951
PLA2G10,SELENOI,-0.8567619282513963
CD79A,TCL1A,0.8074438892913824
CD40LG,CTLA4,0.9585536522115086
MT-ND6,NDUFB3,-0.7791010413910734
CD4,TGFB1,0.9498575072758321
ABCG2,CYP2D6,0.7794206149439211
CD4,TXK,-0.9544301052318515
CCR7,LTB,0.9656592098542249
IL23A,IL2RA,0.7419965402927563
CD28,CD5,0.979402535719514
FZD7,SDCBP,0.8283895576971083
ALYREF,PPIL1,0.8011407205245662
CCL13,CXCL8,0.8880191280611769
CR2,PAX5,0.8932539624794693
CCL22,IL15,0.8089206212078176
GUCA2B,PYY,0.9308795659220366
CYP2J2,CYP4F3,0.9333352685620799
DUOX2,NOX1,-0.901472940908263
PLA2G2D,PNPLA6,0.7946131913845804
CES2,UGT2B17,-0.9265856899597971
SCNN1B,TSC22D3,-0.9265584591783799
SI,UGT1A1,0.7071878573400497
SEC61B,SPCS2,0.9084618490353833
HLA-DQB2,HLA-F,-0.7393888207566325
PGAM1,PKLR,-0.921012983942892
IDO1,TNFAIP6,-0.9796119790483957
CLDN7,MUC2,0.7572404258841917
CD28,GZMB,0.7981167116416286
PLAUR,SERPINE1,0.8603503926773132
MAOB,SLC6A4,0.9074119509058203
ITGB2,PTPRC,0.8982146773414273
IFNGR1,SOCS3,0.8513668155802354
APOC3,SLC2A2,0.8943547331083349
ACKR3,CXCR1,0.9249397703947521
CCL22,CXCL5,0.7415915282551687
FABP2,MLXIPL,-0.7294881198991311
IDO1,IL4I1,0.7572433495705664
PLAU,PLAUR,0.8923695085008228
PTPRC,RAC2,0.8344893531224541
CCL19,CXCR1,0.7767591352636178
HLA-DOB,VPREB3,0.8193898367678389
ALDH1A2,CYP2C18,-0.9578605763694569
AQP7,GK,0.8056680121851064
NPY,PNOC,0.7349294907081981
S1PR1,SELL,0.7211157801561539
MUC3A,MUC4,-0.7669538963562057
REG1B,REG3A,0.8918731382214006
CD4,CD40LG,-0.9987178365520376
PIK3CD,PREX1,0.8037820975469989
GNG2,KCNJ3,0.7978639150324792
CCN1,DUSP1,0.8983518164344063
ITGAL,MADCAM1,0.7942558511707931
FCGR3B,ITGB2,0.7088320576566457
IL2RA,OSM,0.7812887960809358
CXCL8,GNG2,0.7260184128457965
FOS,SOCS1,0.9449796267106687
CD4,SDCBP,-0.7436599046618401
CD38,CTLA4,0.8296493200956815
ABCG2,SLC15A1,0.8679193120507628
ICOS,IL2RB,0.953050963925714
HK2,PFKFB3,0.7510768902995628
CD4,IL2RB,-0.9633311582933247
HSPB1,HSPB8,-0.9537788922269244
ANPEP,CXCL8,0.8791337219330395
CD4,ITGB2,-0.7505677728627255
CCL2,SAA1,0.9664566697419454
INPP5D,JAK3,0.74690762359007
CCL19,CD83,0.9173356156723377
MUC2,TFF1,0.980185542469578
ADAM8,CP,0.9290861818743755
CXCL8,OSM,-0.9789614799075043
CYP3A4,GSTA2,0.8631236635653383
IL1B,S100A12,-0.7355048473358206
CCR7,CD40LG,0.9307416682015123
CD5,FCGR1A,0.8521965680037488
CCR7,JAK3,0.7169679239847346
SLC15A1,SLC28A2,0.8161995238135965
EIF4A3,SRSF1,0.9542256770931029
PIK3CD,RAC2,0.7718690556821431
PIK3CD,SOCS1,0.7712053405094397
ADRA1B,GRK2,0.8008624021875245
COL6A2,ITGA5,-0.8360387484930704
CSF3R,FPR1,0.8729925952087764
HSPBP1,LRRK2,-0.7364158356974085
FGF7,OSM,0.8471074302182112
CD40,CD5,0.9719711737954643
CXCL8,TNFSF11,-0.9102881538315157
CCR7,IL2RB,0.901187574074388
MUC4,MUC5B,-0.9031446466699615
CCR7,TNF,0.7482134150448895
PIK3CD,PLCG2,0.8898989851296304
FCMR,VPREB3,0.9467120334391254
GBP1,GBP5,0.9408970123868864
CCR7,ITGB2,0.9027134164128313
BACH2,BATF,0.795832453473834
CR2,MS4A1,0.84085502767158
FOS,NPY,-0.9433126223391592
ABCB1,CYP2B6,0.7699182971537853
CH25H,CYP7B1,0.9433624441540706
HLA-C,HLA-DRB1,-0.8373146578966012
DEFA6,REG1A,0.8646728871452689
PTGS2,VCAM1,0.8669310664746002
CD40,GZMB,0.8148539633386873
CENPA,H2AC14,0.8944085453677176
CCL4,CD69,-0.7842512874031801
CD27,CTLA4,-0.9063123667182803
MRPL13,RPL39,0.7256256787377833
CD1C,CD7,-0.7587206202196096
CD69,CXCL10,0.951283476761336
CD6,LAX1,-0.9651414062114516
ACKR3,CXCR2,0.8371219767606781
CYP4F3,PTGS2,-0.7915443884356662
PTPRC,TNFSF13B,0.8880564919431823
AQP7,AQP8,-0.7247668352898444
OSM,SOCS3,0.9407796762856427
CCL2,CCL20,0.9457606429036485
CCL20,CXCR2,0.8622463544223544
MLXIPL,PKLR,0.9566533466363469
CXCL8,IL11,-0.9749425095020042
CD5,CD69,0.9528420932664087
CD4,CXCL2,-0.9689810257911889
MT1B,MT1G,0.7218439575839958
CD4,FCGR3B,-0.8474458596256562
CCL13,CXCR1,-0.9677196865508805
CD27,LGALS9C,0.927326395491666
CCL21,CCR7,0.8409392600983465
CH25H,HMGCS2,-0.9747505602824622
BTK,CD40,0.7313255448047056
LEFTY1,PITX2,0.8796587797488986
MYC,RHOH,0.8745845077064469
CENPA,KIF18B,0.9496859018071835
APOE,CLU,0.7519304344600615
NRAS,RASSF5,0.8118203028039103
CYP2B6,CYP7B1,-0.8947669467574069
CCL17,CCR7,0.8801949485830629
AQP9,FCGR3B,-0.942167065117123
CYP3A4,SLC6A4,0.8584314634179421
MT1E,SLC30A2,0.8470210398771834
HSD3B1,SULT2A1,0.8864247700868456
LTA,LTB,0.9045303810770435
HKDC1,TKT,-0.9415723013878305
CD40,VCAM1,0.987429531649117
CSF2RB,IL2RA,0.8588597606710688
ANPEP,FCGR1A,-0.8767226007930292
CCL2,CD4,-0.933889172311087
PRKG2,PTS,0.7482218604529479
APOC1,APOC3,0.9009270652238756
MYC,PTGS2,0.7568005719191485
CCR7,CXCL2,0.7521291424439602
CD274,CXCL1,0.9445518019711814
CXCL10,MMP9,-0.917036118185681
SLC10A2,SLC15A1,0.7769853760278167
CD38,TNFSF13B,0.889771521462029
TNFSF12,TNFSF8,0.8715405086654449
HSPBP1,MRPL13,-0.7093173607621506
CDK16,TDRD7,-0.9120088126849056
CD22,CD38,0.772966173969453
DEFA5,REG3A,0.7681750113119323
HSPBP1,RPS28,0.8854161270799763
CD38,ICOS,0.867061669808508
CD36,SCARF1,-0.8923647275751359
HK2,MYC,0.7275980672265415
RAC2,WAS,-0.8222731427716641
CSF3R,OSM,0.8818340203206073
HLA-DRB1,HLA-DRB5,-0.8545344184723482
CXCL2,PTGS2,0.8910164953001416
CLU,SHBG,0.8438218411271625
ITGB2,RASGRP2,0.9053505140827315
HLA-DRB1,PDCD1LG2,-0.8470512065303042
FCGR1A,MME,-0.8692353787366999
GNG2,GPR183,-0.7501073274332948
ADAMTS1,AREG,-0.9549217192600692
CCL20,CXCL9,0.7796913968851935
PKM,RPS28,0.8474842318284973
CYP2C9,GSTA1,0.795732006452257
IFNGR1,NRAS,0.871633750707906
CD1C,CD4,-0.9135654422216165
LDHD,PKM,-0.7447643286338455
CXCL9,TNF,0.7246706890820761
CCL20,CCL23,0.8283302406399606
CD28,SH2D1A,0.9550500519781366
PKLR,RPL26,0.9656926023584502
BATF,JUND,-0.8586346808268025
C3,CFI,0.8203059950884851
CXCR2,PTGS2,0.8943250220347443
CCL13,CXCR2,-0.8713496689825383
CNR1,GNG2,0.7161208557702337
CD27,GZMA,-0.8126451588478721
ADGRF1,GNAI1,0.8492981494365117
CD4,SLAMF6,0.8635835214428015
CXCL1,CXCL9,0.9298792987248201
LY86,TYROBP,0.8360545333247016
CSF2RB,PTPRC,0.7324311738991544
CCL19,ITGAX,0.8660286634825302
EPSTI1,GBP1,0.973151311178336
CD4,IFNGR1,-0.8991750026052729
LTA,TNF,0.7553448979889973
NLRC5,NLRP1,0.8818615154966493
MT1A,MT1G,0.9492108444037164
CD1C,CD5,0.7631997377112172
CD27,ICOS,-0.8636254798077044
LGR5,MUC2,-0.7773968152185401
CXCL11,TNFAIP6,-0.9873156802172501
CLDN18,CLDN7,-0.7249669131676605
CENPA,RCC1,0.9157913049999199
SLC51A,SULT2A1,0.9283497162239622
NDUFA13,SRSF1,-0.8578430094509287
MRPL13,MRPL39,0.8644727202552097
CXCR2,ITGAL,0.7201689670483982
CYP2B6,CYP3A4,0.712237046872211
CCL22,CD274,0.7681238829297805
CCL2,VCAM1,0.9539878611542458
CD27,CD40,-0.8733339634049753
CD40,CXCL8,-0.963723451183916
CLDN15,CLDN18,-0.9006915357869709
LPL,SAA1,0.7556843140640277
CD53,PTPRC,0.7928317758389963
IL2RB,ITGAL,0.7991822806827582
IFITM2,IFITM3,0.9462790586537506
ITGAL,VCAM1,0.797455857531215
NOS2,PTGS2,0.903693562268471
CLIC1,S100A11,0.7448665038780227
CYP2B6,UGT2B7,0.9017022728568549
CXCR4,RGS1,0.8664056284613575
APOE,PCSK9,0.9260748070850654
APOB,LPL,-0.7188432896259956
CA4,CA9,0.8910318950065719
ALDOB,HK2,-0.9501620590648687
DPP4,MGAM,0.7429418330065327
CD24,ITGAX,0.8182599163094548
FOS,KLF2,0.7919316485708454
CST7,NKG7,0.8814026807944516
ANPEP,CXCR2,-0.8259832817075607
APOA1,APOB,0.7742036709660364
LY86,SPI1,0.7072205821484058
DGAT2,MOGAT2,0.9012000328887688
ADGRG3,GNG2,-0.7776432879638179
APOC3,SAA1,-0.9647670849252311
CD40LG,CXCR4,0.9241301502793828
HMOX1,PTGS2,-0.7732937574947416
ABCC2,UGT2B7,-0.7850195407047708
REG4,SPINK4,0.9868864315762147
FCGR1A,ITGB2,0.7931503311456574
P4HA1,PYCR2,0.7832225287215211
ELOVL1,SCD,0.7143217268037493
EPSTI1,IFI44L,0.9119786506594778
RPL22L1,RPS7,0.8325060804752488
MUC2,MUC3A,0.8477732807483823
CH25H,SOAT2,-0.8342585631925382
ACTN4,ZYX,0.7976318407258205
CCR7,NKG7,0.7438867883231978
ANPEP,MME,0.8653957096500102
LCN2,S100A12,0.9536545908021822
PKLR,RPLP0,0.9528487275607751
CENPA,KAT2B,0.9094527280037311
CD40,ITGAL,0.8050662959058037
C17orf78,PIGW,-0.9245701081282012
CXCL8,SAA2,-0.9773120104441219
CYP4F2,PLA2G2A,-0.7737187452911372
TNFRSF13C,TNFSF11,0.9078448673675612
CD4,CD48,-0.9471223795238611
CD28,CD69,0.9706556546837407
CASP8,CASP9,0.9344915709357202
CCL19,CCR7,0.967237840063035
CD40,TNFSF13B,0.8097025653779536
LRAT,RBP2,0.8527632161131344
CD69,IL2RA,0.7068236750979757
MYC,NRAS,0.7510998900223956
JAK3,PIK3CD,0.8251401493159332
MT1F,MT1G,0.9798257460031091
CD274,CTLA4,0.9673968415134028
ALDOB,PKM,0.8187732262362827
FCGR2A,ITGAX,0.8468686222801104
CXCL10,RETNLB,0.7848942056381116
ACE,SI,0.9528111602786858
CCK,VIP,-0.9530083085103359
CD40,ICOS,0.9620193842150421
MYC,SGK1,0.7855670342601795
IPO4,SRSF1,-0.9005007001406315
CSF3R,SOCS1,0.8626719425061391
CCL28,CXCR2,0.7708261827940747
CASP8,HMOX1,-0.8475248058128927
HLA-C,HLA-DRB5,0.9062273343420117
CD40,PDCD1LG2,0.9630040077499669
MAP2K3,TXN,0.838062862968011
CD274,LGALS9C,-0.9610161082737655
ACKR3,CXCL10,0.9246773253612592
BATF,IRF4,0.8982311727609372
CXCR4,SOCS3,0.7757575602921611
IL1B,TNFAIP2,-0.9490808575895865
CCR7,CD48,0.8971858787352907
CD4,CD52,-0.9295069370204866
CCL20,CXCL10,0.8994340815536077
AQP9,MNDA,-0.9142310394109866
CCR7,CD274,0.8628251500432975
FCGR1A,FCGR3B,0.9226493469067882
CXCL5,SAA2,0.9657996665361522
PTGS2,SERPINE1,0.8898881925461994
KRT1,LRRC26,-0.7596717652898434
CCL2,CXCL8,-0.9675501656396909
ITGAX,MME,-0.797834199638167
FCGR2A,GP1BA,0.8939921515518754
CXCL1,MMP9,-0.7074356372746953
CETP,PLA2G7,0.8049370517979014
MEP1B,NTS,0.8658860174901396
SLC26A3,SLC9A2,0.8977730670433542
CXCL8,TNFSF8,-0.7426984239477108
TNF,TNFRSF9,0.7003125990649901
CCL21,CCL22,0.7075312467140691
CCL2,PTGS2,0.9165827666909966
CD4,CXCL1,-0.9125666108366278
CCL17,CCL22,0.8498692690580443
NIBAN3,SPIB,-0.7042302670173805
EPHA1,FN1,-0.7654298813096982
CD40,TNFSF8,0.9148687794949222
IL15,SOCS1,0.9735541169432836
CXCL1,CXCL10,0.9556206518295773
CXCL10,IL2RA,0.8082417244432226
CHUK,TLR8,0.9019588358274286
ANPEP,TNF,-0.7694640919854319
CXCL11,CXCR4,0.8135499940287402
SI,SLC2A2,0.9132410548509695
ACE,SERPINE1,-0.8204381217438149
CXCL3,CXCL8,-0.8822168097901469
HLA-C,TYROBP,-0.7118986579903732
CCK,RUNX2,0.920574374884305
CD40,CD69,0.9713621662948597
EPSTI1,GBP5,0.842020666060754
CD38,IL21R,0.9395078380851554
IFNGR1,OSM,0.8487514659536988
PLB1,PNPLA6,-0.7440063812791357
REG4,TFF2,0.9740218769633032
CCL2,ITGAL,0.7690677304816931
CES2,UGT2B7,0.950429002496795
CD28,NAALADL1,-0.8089036086401376
IL27RA,JAK3,0.7999101338314817
CXCL3,PTGS2,0.8753863027926313
GBP1,TNF,0.7279322656109493
NPY,PYY,0.9298513057906461
CXCL2,CXCR4,0.8133154891367639
IDO1,KYNU,0.9316274331236868
CD40,CD83,0.7781834303112158
CTLA4,IRF4,0.863405750424214
MGST1,MGST3,0.8122193389024015
CD53,ITGB2,0.90766639582343
LEFTY1,TGFB1,0.922622190272526
IL21R,IL2RA,0.8883568877996302
CD38,ITGAX,0.9171812639202093
CD4,HLA-DQA2,-0.9556347309687792
CITED2,TFAP2C,0.8347661396258431
SELENOI,SELENOT,0.7322330461527512
CD40LG,CD5,0.968606274161697
SULT1A1,SULT1A3,-0.7834840047391625
CD274,GZMA,0.8015733754946593
LTB,TNFSF11,0.8980845202519047
CASP5,NLRP2,0.9765118659645278
