geneA,geneB,weight
HK2,PKM,0.9985380715781994
CXCL3,CXCL6,-0.8923398040309342
GSTA2,GSTP1,-0.891625189227971
FN1,PLAUR,0.9999989794162744
FPR1,LILRB2,0.76876232866351
AKT1,CRTC2,-0.9924125442905047
CYP4F2,PLA2G10,-0.9920200309958324
PDZK1,PDZK1IP1,-0.9992555278500455
JAK3,PTPRC,0.8342367596442695
CDA,PNP,0.9971632541300214
PLA2G12B,PLB1,0.9965032372247312
CD7,MME,-0.9122887375690529
CYP2C9,CYP4F2,0.9528879720125355
CYP4F3,PLA2G12B,0.9354953043319011
ALYREF,EIF4A3,0.8212818643569512
ADAM15,SRC,0.9259014426025226
CYP2C18,GSTA1,0.9994365646294405
APOE,CXCL8,0.9335850810650759
LCN2,SAA1,0.9955764536596202
GNE,PGGHG,-0.9993138335201563
DDX3Y,KDM5D,0.868251223390965
CXCL8,FGF7,0.7926652739934901
FN1,MMP7,0.9998378649480026
MRPL13,RPS4Y1,0.7337632517087876
NAPRT,PNP,0.9447957890549703
CXCL8,PLAU,0.9618094300094796
CCL11,CCL15,0.9757713579507986
EIF1AY,RPS4X,0.8722199589472678
BTK,CD52,0.7117258070304021
IL1B,IL23A,0.8361437008473148
CXCR2,GRK2,0.9647177742852474
CXCL1,TIMP1,0.9920952287013437
KDM5D,ZFY,0.9425875754996196
CASP8,DFFB,0.7065843706250308
CSF3R,SOCS3,0.7236117120086311
MMP3,SAA1,0.9587657693039109
APOA4,APOD,-0.8742463646969659
CD38,FCGR2B,0.7102328062043096
AKT1,TIMP1,0.9689906819163121
CXCL1,CXCL3,0.9989812339727093
APOB,CD4,-0.7715402426350658
APOB,VWF,-0.8660971818587784
ALDH1A2,BCO1,-0.9947595167582264
SRC,TAC1,0.8344604158223198
GAS6,SOCS3,0.7182457221203951
CXCR1,IL1B,0.9257507880028821
MUC17,MUC5B,-0.9999999209391867
SNRPN,TSSC4,0.9407353093014195
MYL9,SRC,0.9294995700685345
APOD,APOE,0.9286893274688854
MRPL13,RPL22L1,0.9122475923267261
CD4,MUC1,0.8435395262573404
CCK,TAC1,-0.9252240145020743
FCGR3B,LILRB1,0.7043597110310089
APOB,MTTP,0.9981747760662433
CHAC1,GSTA1,-0.9985896675977141
CCL15,CXCR2,0.9609245002211998
DDX3Y,USP9Y,0.9739881218581246
FADS2,PLA2G10,0.8801349963441576
IFI44L,MRPL36,-0.7901196693507186
ACE,TAC1,-0.9917812651518859
TREM1,TYROBP,0.838354003924148
RPS28,SEC61G,0.996046293420525
AKT1,PKM,0.9623670169465347
CD4,LILRB1,0.8494063478056906
ANPEP,CD4,-0.8064944201702388
CYP3A4,GSTP1,-0.9617949969900386
CCL28,CXCL13,0.8373791597475141
AKT1,CREB3L3,-0.9367408478872004
AKT1,ATF3,0.9918398875560205
IL1B,SOCS3,0.9355340548470104
EEF1D,IMP3,-0.9473631358014251
CYP2B6,UGT2B17,0.724846646697353
ACSL1,SCD,0.8517563204265197
CASP5,IL1B,0.9800981948292605
PLA2G10,PLB1,-0.999870239357876
RPL22L1,RPS4X,0.9474899606706487
RPS4Y1,USP9Y,0.9816621660831838
ALDOB,SLC2A2,0.9992637961990323
CYP2B6,PTGS2,-0.984485852232436
SDHB,SDHC,0.8933086748234711
CYP2C19,PLA2G10,-0.9984699969098763
IL1B,PTGS2,0.9422447755088212
CDH1,RPLP0,0.956844041033674
CXCR1,FCGR3B,0.9100234595935872
IMP3,RPL22L1,0.8703966726567375
PDZK1,SLC16A9,-0.9477379109530822
ACKR1,CXCL3,0.9462689324884892
CR2,FCER2,0.7787876824187431
CCL11,TNF,0.7314642453229125
AQP10,GK,0.797516051969708
ABCB1,CYP2C9,0.9996497507261303
CDH1,NCSTN,0.7694602205834135
EIF1AY,ZFY,0.9521390289232834
CXCL9,GBP5,0.7018768213833517
CYP2C9,CYP4F3,0.9288057364936192
CHCHD10,CHCHD3,0.9839963939660009
CD22,PTPRC,0.8994227773848165
CD19,THY1,0.7814706272754576
ANPEP,CD5,0.9051569048619343
HLA-DQA1,SLC26A3,-0.8794509398474065
CCK,CCL28,-0.9973296212168808
PLA2G12B,SELENOI,0.873609425322012
CYP2J2,CYP4F2,0.9473919024469786
CDH1,MUC1,0.8055355229150143
FCRLA,MS4A1,0.8859463926532126
CCL20,CXCL8,0.7007560882868036
CCL11,IL1B,0.9702187864268059
CYP2B6,UGT2B15,0.9218294847170418
BMP4,GREM2,0.9737182453074253
CD19,TNFRSF9,0.7353659371043838
CD79B,TNFRSF13C,0.797442889680346
NTS,PYY,-0.9996500999796524
C4BPB,CR1,-0.7735503492663591
SELENOI,SELENOP,0.8731682306614333
ABCB1,UGT1A1,0.9873312572178574
PLAU,TIMP1,0.97235823784744
CD24,CR2,-0.9853422780297157
CD38,THY1,0.7647110950228737
IL1B,MMP2,0.8698173653250094
CD9,ITGA5,0.8102968825017364
CXCL1,PLAUR,0.9998701271522794
PCK1,PDK4,0.7398128442113331
GPT,TGFB1,0.7146900952636985
APOE,TYROBP,0.934363106193992
ITK,LAT,0.9541037610494258
MMP3,OSM,0.9560232957657472
NDUFA13,SDHC,0.9702932122054001
PKLR,TKT,-0.9946104850483354
C3,LTF,0.7540134433268829
IMP3,MRPL36,0.7927111100495177
CD38,TNFRSF9,0.78540910565477
CYP2C19,MGST3,-0.8141236640188417
CCR7,PTPRC,0.8455756047576054
CYP2C19,GSTA2,0.8689564247959631
OAT,THNSL2,-0.7887088609774967
ATF3,EGR2,-0.8231568986250667
CD7,FCGR3B,0.7081278341062138
CD19,CD27,0.8008293197922017
GNB2,VIPR1,0.9166947883705893
CXCL1,MMP7,0.9984037818521241
CXCL8,SAA1,0.9820016761598714
CYP2D6,UGT1A1,0.8172091781821309
AIM2,SP140,0.7309131055774932
