geneA,geneB,weight
GPR183,MS4A1,0.9296498287391863
LY9,SH2D1A,0.9066310125436822
GSTA2,GSTP1,-0.7966064656642272
FPR1,LILRB2,0.8662451311230369
NKG7,TYROBP,0.9708983966683662
PDZK1,PDZK1IP1,-0.7338390649492255
JAK3,PTPRC,0.9666800800689195
PLA2G12B,PLB1,0.8426209163986104
CPS1,OAT,0.839044728039765
BEST4,OTOP2,0.9352955785984095
ADAM15,SRC,0.8364603905176898
CXCR1,JAK3,0.7326752418159093
FPR1,MARCO,0.7053284285696009
CD40,MS4A1,0.8536749085600688
CXCL8,TNFAIP6,0.776170066332703
CYP2C18,GSTA1,-0.9999972578344455
APOE,CXCL8,0.7647599165917438
LCN2,SAA1,0.8290316354069553
DDX3Y,KDM5D,0.9712454683829211
FN1,MMP7,0.7352373152615854
MRPL13,RPS4Y1,0.7019309460676877
EIF1AY,RPS4X,-0.9011837712596662
KDM5D,ZFY,0.9796185117207391
CD3E,IL2RB,-0.718919413696441
CASP8,DFFB,0.7461277135951628
CXCR1,ITGB2,0.7157762624275447
HCST,NKG7,0.99419967321584
APOB,CD4,-0.7643888524174729
MT1X,MT2A,0.8977371797264658
APOB,VWF,-0.745740858890117
ARHGDIG,RAC2,0.8344897286113512
CD19,IL2RG,0.931972025300999
CXCL13,CXCL9,0.7220714950700259
SNRPN,TSSC4,0.9589437722779374
CD22,CD28,0.9548973696021731
CD5,GZMB,0.9502422415681689
MYL9,SRC,0.7642572193999766
CD3E,HLA-DQA1,0.8821123581185442
CD5,IGLL5,0.9922448970253948
FABP6,SLC51A,0.8754513794494695
APOD,APOE,0.7765710140437335
MRPL13,RPL22L1,0.7800078678238592
CD19,CD52,0.9913697523738864
ENTPD8,PDE4B,0.8287778751560559
CCL2,IL15,0.7113434535115819
FCGR3B,LILRB1,0.7655072532734573
APOB,MTTP,0.8804419240776022
CHAC1,GSTA1,-0.8440824985402877
ARHGDIG,RHOH,0.7357532885947592
DDX3Y,USP9Y,0.9696483237278597
CCL21,CXCR1,0.7380866423067479
CD79A,HLA-DOB,0.9252650876779838
EOMES,NKG7,0.8840475352605542
CARD11,ITK,0.8048772099901251
CD4,LILRB1,0.9882955125851073
PTPRC,VWF,0.9459043913253162
CTLA4,CXCL9,0.7291421202862864
CCL17,CXCR1,0.7117122288337988
CYP3A4,GSTP1,-0.7397618381091804
RPS4Y1,USP9Y,0.9758440135922833
ALDOB,SLC2A2,0.9031012978318135
SDHB,SDHC,0.8931968935009504
CDH1,RPLP0,-0.7628038022260212
CXCR1,FCGR3B,0.8358519575666493
CD27,FCGR2B,0.8802322871935161
CD3E,FCGR3B,0.9194293009200195
CCL20,CCL8,0.7124812742419472
ATF3,DUSP1,0.7188723143964119
FCGR3B,PTPRC,0.7479360991451743
AQP10,GK,-0.7811334512176425
APOE,LILRB4,0.8983566326083741
BTLA,PTPN6,0.9470396076434151
CDH1,NCSTN,0.8488160968723031
EIF1AY,ZFY,0.9699011957655761
CXCL9,GBP5,0.8088001737730943
CHCHD10,CHCHD3,-0.766414940185833
CD22,PTPRC,0.9848990761550878
CD19,THY1,0.9669143906826164
ICOS,PTPRC,0.9340021157561901
CD4,PTPRC,0.9718157562876973
CYP2J2,CYP4F2,0.919380374666507
ACKR3,CXCL8,-0.7719106834090591
BTK,PIK3CD,0.7890064374380751
FCRLA,MS4A1,0.9672476757480678
CCL20,CXCL8,-0.8248205354304028
GABPA,TFB2M,0.8506302729426003
BMP4,GREM2,-0.8028332094624682
ITK,PLCG2,0.7425568039917245
ITGA5,ITGAL,0.799889513482382
CD79B,TNFRSF13C,0.9573095833292692
CD19,VPREB3,0.8025193308032079
CD4,S1PR1,0.957723653052134
SELENOI,SELENOP,0.9108861571542959
CST7,PTPRC,0.9242774698598166
ITK,RHOH,0.8339579129892744
GZMB,NKG7,0.9921016547232107
ICOS,SELL,0.928596471682062
IL1B,TNFSF13B,-0.8904316486290821
CCL17,IL16,0.8967956398620764
CD27,CD52,0.912271597835129
APOE,TYROBP,0.9247112169807854
CXCL8,CXCR4,0.9003222236547032
NDUFA13,SDHC,-0.7970106046394688
MADCAM1,SELL,0.930189612163452
CD38,TNFRSF9,0.7211997427794246
CCR7,PTPRC,0.9403587634275088
CD19,PIK3CD,0.9359136314461264
CD48,ICOS,0.8471956466942345
CD1C,CD40,0.8279216950480494
CD19,CD27,0.9157817303580938
CCR7,S1PR1,0.9016258249173623
ACKR3,CCL21,-0.8224412051870015
PFN1,WAS,-0.7178154885731917
CXCL8,SAA1,0.7559365357193085
GNB2,NRAS,0.9035561420482342
CCL20,CCL21,-0.8351040114441719
AIM2,SP140,0.9013597211686245
CD19,FCER2,0.9814228972920328
CD28,CD4,0.966657578091144
CD22,MME,-0.7097691071992835
BGN,COL18A1,-0.7416871292564293
CDH1,PTPRC,-0.7456740388591067
CD40,FCGR2B,0.8439295941432589
CCL19,TNFSF13B,0.9033260995564966
F13A1,VWF,-0.7734303215063815
FCRLA,HOXA9,-0.8105230983028923
CXCL8,FPR1,0.8947818298279198
DERA,TKT,-0.87554524353105
PCDH11Y,RPS4Y1,-0.8413073364980285
CD79B,PTPRC,0.9832074546318617
BAX,CLU,0.8074802948149766
MT1M,MT1X,0.8502787202701868
ABCG5,ABCG8,0.7298186450304213
CD79A,TCL1A,0.8750659897449331
MT-ND6,NDUFB3,-0.7667009697119029
CD4,TGFB1,0.9671584637294953
SNRPA1,SRSF1,0.9200901327861803
HCST,PIK3CD,0.9633553743651927
IGLL5,NT5E,0.9052779153352899
CCR7,LTB,0.9394344538953927
CD28,CD5,0.9388194783200328
ALYREF,PPIL1,0.7690569724303798
CR2,PAX5,0.909702475353517
CYP2J2,CYP4F3,-0.714377614173359
CD79A,THY1,0.9052479200799377
CHMP5,VPS28,-0.9235329792090137
SEC61B,SPCS2,0.8445359187283398
PLEK,RGS1,0.7510941073121628
CD22,CXCL9,0.7215445304420245
CD28,GZMB,0.981982780199186
APOE,C1QC,0.7887437208505507
MAOB,SLC6A4,0.8214955122021999
ITGB2,PTPRC,0.9450810609031843
APOC3,SLC2A2,0.7454323232158646
CD79A,VPREB3,0.9249542137643473
CD27,EOMES,0.7928202803337461
CD28,LILRB2,0.8600595901421864
PTPRC,RAC2,0.9498837124862396
CCL19,CXCR1,0.7140202968540076
HLA-DOB,VPREB3,0.9243788069652377
ALDH1A2,CYP2C18,0.9934563547070868
AQP7,GK,0.8724560066081675
INPP5D,SRC,0.7968966946135767
S1PR1,SELL,0.9511153569122409
ACE,VWF,-0.8732123337404855
CD4,CD40LG,0.9763422627238472
ABCC2,SLC10A2,0.7800163911889134
IGFBP2,TGFB1,0.9744426283177238
FCGR2B,INPP5D,0.9556863570860593
COL18A1,COL8A1,-0.9884890955121425
CCN1,DUSP1,0.719156897805911
ITGAL,MADCAM1,0.9306475063985962
FCGR3B,ITGB2,0.7342281274588511
IL2RA,OSM,-0.971328201482788
CXCL8,GNG2,0.8109807837996842
