geneA,geneB,weight
GPR183,MS4A1,0.9865235424207962
CD274,TIGIT,0.958967960942943
CXCL3,CXCL6,0.9429193461564576
LY9,SH2D1A,0.7651419954075682
CORO1A,WAS,0.8213010518499368
JAK3,PTPRC,0.9387157427490925
CDA,PNP,0.9706369890585209
TNF,TNFRSF13C,0.983394933132078
CYP2C9,CYP4F2,0.9431988812779327
CCL20,CXCL3,0.7374861414555418
CXCL1,TNFSF11,0.9167109110105771
CPS1,OAT,0.859853634025573
BEST4,OTOP2,0.7973414805576426
ADAM15,SRC,0.7726090250748597
FPR1,MARCO,0.7564110467913078
CD40,MS4A1,0.9449272463677586
CYP2C18,GSTA1,0.7246666981924085
LCN2,SAA1,0.7424093183896111
DDX3Y,KDM5D,0.9714033622321859
FCGR2A,VWF,0.8622080709575026
BACH2,LEF1,0.9361227580766504
CCL11,CCL15,-0.9886148766512561
CCL19,VCAM1,0.987289270196567
BTK,CD52,0.975949727682684
CYP4F2,UGT2B17,0.7044032836273347
IL1B,IL23A,0.8857297186088965
CD19,CD274,0.8757094278652127
CXCL1,TIMP1,0.9258700081417214
KDM5D,ZFY,0.9837413619151812
CCL4,HLA-DRB1,0.8057452673013078
CXCL6,IL1B,0.9299421316391985
CCL28,CXCR4,0.8987921193765795
CA9,CXCR4,-0.8180997955742151
CXCL13,SRC,-0.7168802421082089
CSF3R,SOCS3,0.8048957228748437
MMP3,SAA1,0.7265390055611703
CCL4,GZMB,0.8501126710324353
CD38,FCGR2B,0.8747682974366839
CXCL1,CXCL3,0.9726978666918197
ARHGDIG,RAC2,-0.9302307437370291
CXCL13,CXCL9,0.9916213087746555
CXCR4,IL1B,0.8357702123865791
CD40LG,CXCL1,0.8191125117917277
CD40LG,TRAF1,0.8370000702303305
CD274,CD40LG,0.7679064368239318
CR1,FCGR3B,0.8132800671621523
SNRPN,TSSC4,0.8493376720094428
CD5,GZMB,0.8900883502215865
CD5,IGLL5,0.8156473933121033
FABP6,SLC51A,0.857185124894455
MRPL13,RPL22L1,0.7569450731265835
CD19,CD52,0.9648918710376259
CCL2,IL15,0.7298281044392363
FCGR3B,LILRB1,0.7689898301906753
APOB,MTTP,0.7776391230103709
CCL18,CXCL5,0.9847286821270322
ARHGDIG,RHOH,-0.9827408777482192
DDX3Y,USP9Y,0.9730610198698034
CD40,FCGR2A,0.8308116426158455
FCGR2B,TNF,0.868702922111336
CD1C,PAX5,0.7287452406676513
CD79A,HLA-DOB,0.953494319881141
MMP9,VCAM1,0.9318859306907444
PDCD1LG2,PTPRC,0.9315916220669154
CCL11,CXCL9,0.998724708839717
CARD11,ITK,0.8814097575380083
CD4,LILRB1,0.8099153134328106
PTPRC,VWF,0.9763770030609175
CCL22,CCL4,0.9003352296668864
CTLA4,CXCL9,0.9939104315455669
CCL28,CXCL13,0.9760999444962254
GUCA2A,TMIGD1,0.8790567249469636
CCL2,CXCL5,0.718520488180657
CXCL13,TNF,0.9754153398114759
