geneA,geneB,weight
GPR183,MS4A1,0.843632073255369
FN1,PLAUR,0.9192610426373466
CORO1A,WAS,0.7319011768680166
NKG7,TYROBP,0.9212054097923554
JAK3,PTPRC,0.7169490716064315
CD4,ICAM1,0.9482962606862974
CYP2D6,SLC35A2,0.7525082956032287
CXCL1,TNFSF11,0.7175194788202912
CPS1,OAT,0.7097694025784129
CYP2C18,GSTA1,0.7767438104526088
APOE,CXCL8,-0.7105224370891737
DDX3Y,KDM5D,0.9431881106312536
BTLA,CD69,0.8048176731121379
BACH2,LEF1,0.9649819979483807
EIF1AY,RPS4X,0.8159965464986221
BTK,CD52,0.8133150944650119
CXCL1,TIMP1,0.7402309294799195
CD3E,IL2RB,0.885977451240966
CCR7,ICAM1,0.9028862396561048
HCST,NKG7,0.8852519248678905
CD19,IL2RG,0.9032500632689727
CD40LG,CXCL1,0.7399621191157433
CD40LG,TRAF1,0.9713628709386718
SNRPN,TSSC4,0.7328251773009589
CD22,CD28,0.9833595991399137
CD3E,HLA-DQA1,0.909626549084286
APOD,APOE,-0.7238328939426567
MRPL13,RPL22L1,0.8095342594005157
CD19,CD52,0.86373055757155
CD4,MUC1,-0.9577574679389933
FCGR3B,LILRB1,-0.9352190232915492
APOB,MTTP,0.843630355869805
DDX3Y,USP9Y,0.9134264742936995
IL2RA,IL33,0.8099345445729298
CD1C,PAX5,0.8567276952358462
AKT1,PKM,0.9177672225809217
CARD11,ITK,0.8314401186295566
CD4,LILRB1,0.9488870350496488
GUCA2A,TMIGD1,0.7314533160423995
CD38,CD52,0.7265935567996299
CDH1,RPL39,0.751723504581278
EEF1D,IMP3,0.7462918248088838
RPL39,RPLP0,-0.8317902659532624
CXCL10,LTA,-0.9584595002060444
CD40LG,TNFRSF9,0.9788490529085283
CD19,TCL1A,0.9135869859776784
RPS4Y1,USP9Y,0.9359044354246123
ALDOB,SLC2A2,0.8693370156243468
SDHB,SDHC,0.7710163304329519
CYP2C19,PLA2G10,0.7773718077035559
CDH1,RPLP0,-0.7628015670737204
AKT1,CYFIP2,0.7835674332325687
CD3E,FCGR3A,-0.7029916645645035
CCL22,CCL25,-0.857842635960222
CR2,FCER2,0.7538224865907419
FCGR3B,PTPRC,-0.8128654604272112
APOE,LILRB4,0.8454670492321504
CTLA4,IL2RB,0.9739155507506182
ABCB1,CYP2C9,-0.8905710365988019
EIF1AY,ZFY,0.9798786572502544
CXCL9,GBP5,0.7248469743133652
CD22,PTPRC,0.9715991114695147
CD19,THY1,0.7543295333886878
ICOS,PTPRC,0.8928613626391984
CD4,PTPRC,0.9032987422796155
BTK,PIK3CD,0.7645763297333603
CDH1,MUC1,0.8376942781019597
FCRLA,MS4A1,0.7177005158968988
CCL17,IL33,0.8120962264237536
GABPA,TFB2M,0.7084061067369215
CYP2B6,UGT2B15,0.7079425253074517
BMP4,GREM2,0.8244913818363976
CD19,TNFRSF9,0.8751298637063654
ITK,PLCG2,0.8575915763644326
ITGA5,ITGAL,0.9163193300170737
CTLA4,IL1B,-0.9233878046453721
CD79B,TNFRSF13C,0.9562093919739453
CD19,VPREB3,0.8229148921454273
FSCN1,ZYX,0.7312280150970449
ITK,RHOH,0.9335829013190807
ICOS,SELL,0.726421897949819
CCL17,IL16,0.9499448323984511
CXCL1,PLAUR,0.7945885127705274
APOE,TYROBP,0.9868808947011012
CD38,TNFRSF9,-0.760970614644401
CCR7,PTPRC,0.9491479170780495
CD48,ICOS,0.8938168892446997
CCL21,CCL28,0.7344105521491451
ACKR3,CCL21,0.8592693740970478
CYP2D6,SULT1A1,0.797351068534855
GNB2,NRAS,0.8973394993166711
CYP2D6,UGT1A1,0.7416288530075869
CYP2D6,MAOB,0.7059260252751915
CD83,FCGR3A,-0.9417702210162855
CD19,FCER2,0.9224881212159319
CTLA4,FCGR3A,-0.9877454951703432
CTLA4,FCGR3B,-0.9754914018597861
AKT1,TXN,0.7759269049200346
CD28,CD4,0.9396354271872707
BGN,COL18A1,0.8577015601153708
CDH1,PTPRC,-0.7615297874387434
CXCL8,FPR1,0.7025504740735236
CD19,SPIB,0.9067220327843505
DERA,TKT,-0.8209717435910003
PCDH11Y,RPS4Y1,0.7341593594974412
CD79B,PTPRC,0.9662258495688265
CD79A,TCL1A,0.9534367334218992
FCGR1A,FCRL1,-0.8603880342925287
CD40LG,CTLA4,0.9640397514177295
