geneA,geneB,weight
CXCL3,CXCL6,0.7014640179880587
GSTA2,GSTP1,0.8568533389940474
FN1,PLAUR,-0.7924202705494712
AKT1,CRTC2,0.8999720980595403
NKG7,TYROBP,0.7655513214497317
JAK3,PTPRC,0.8376484636427364
CD4,CD9,-0.7174995766067189
CD274,TGFB1,-0.8578600899333015
CYP2C9,CYP4F2,0.7482843590072491
ALYREF,EIF4A3,-0.8096274354806314
ADAM15,SRC,0.8979799918747428
LCN2,SAA1,-0.9313318537765136
GNE,PGGHG,0.7186899802715306
DDX3Y,KDM5D,0.9571706152511998
FN1,MMP7,-0.9160498550296912
MRPL13,RPS4Y1,-0.7070024022523352
BACH2,LEF1,0.8213760703989073
KDM5D,ZFY,0.9562792705525806
CXCL6,IL1B,0.7859608179108474
CXCL13,SRC,0.7056296254516561
CASP8,DFFB,0.8289530005214009
MMP3,SAA1,0.7926061684831547
CCL4,GZMB,0.7224710946447334
HCST,NKG7,0.7218327145394636
CXCL1,CXCL3,0.7517943860855207
MT1X,MT2A,0.9880041874112163
ALDH1A2,BCO1,0.731038145461171
GAS6,SOCS3,0.7535868853753818
CXCR1,IL1B,0.8039118378547675
SNRPN,TSSC4,0.9347643197155742
MYL9,SRC,0.8832389194347288
MRPL13,RPL22L1,0.8734135027986334
CD19,CD52,0.8779373048251854
ENTPD8,PDE4B,-0.7061014906364947
CCL2,IL15,0.7275661837523651
EGR2,FOS,0.8154198503158561
CCL2,CCL4L2,0.7208204307578086
DDX3Y,USP9Y,0.9601066209364072
IL2RA,IL33,-0.7361200274059098
RPS28,SEC61G,-0.8569151058579283
AKT1,PKM,-0.7015909784960789
CD4,LILRB1,0.8119529865220347
CD3E,GNLY,0.8097481394831066
GUCA2A,TMIGD1,0.8253921642576502
CD274,IL15,0.9430636078153821
GDF15,SERPINE1,-0.954474500410488
CCL4,VCAM1,0.8103888684902942
AKT1,CREB3L3,-0.7253553272869275
AKT1,ATF3,0.9474265973390474
CD274,CD3E,-0.8799229373098694
CD274,IL1B,0.7934721403684636
IL1B,SOCS3,0.8591503658428975
ACSL1,SCD,0.7855207012026998
CASP5,IL1B,0.785586871811194
CD19,TCL1A,0.7746033959803286
