geneA,geneB,weight
HK2,PKM,-0.9983999811836104
CXCL3,CXCL6,0.8997253423891916
LY9,SH2D1A,0.8767968045574971
FPR1,LILRB2,0.7086185748274656
FZD7,RSPO3,0.7286276496878246
AKT1,CRTC2,0.8839871209988701
CDA,PNP,-0.8618503454654146
TNF,TNFRSF13C,0.7111204502718693
PLA2G12B,PLB1,-0.8817543062223998
CYP2C9,CYP4F2,0.7767522977560554
CCK,CDH1,-0.7116599642194016
CCL20,CXCL3,0.8633019811884525
CXCL1,TNFSF11,0.8960117066330695
BEST4,OTOP2,-0.8246694244955506
ADAM15,SRC,0.7163364789283024
CD40,MS4A1,-0.922776587424488
CXCL8,TNFAIP6,0.8518217974434364
FCGR3A,GZMA,0.9676250496318326
GNE,PGGHG,0.9594703268976567
DDX3Y,KDM5D,0.8992163519137458
BTLA,CD69,0.9922907199175743
EPHA1,EPHA2,0.9983598675324621
CXCL8,FGF7,0.938097071605562
MRPL13,RPS4Y1,-0.9798213916479916
CXCL8,PLAU,0.9206153386731301
BACH2,LEF1,0.7793972408823739
JUND,MYC,-0.8788486848916665
CCL19,VCAM1,0.8133252324917878
BTK,CD52,0.7405115720144374
LPCAT4,PLA2G2A,-0.9987251391674397
IL1B,IL23A,0.9756488948980234
KDM5D,ZFY,0.8988929395542979
CCL4,HLA-DRB1,-0.9999183629511468
CXCL6,IL1B,0.9545210547003292
CXCR1,TNF,-0.7221983648131715
IFI44,IFITM1,-0.7530276534453029
CA9,CXCR4,0.7627054406000175
CD3E,IL2RB,-0.8759607748896131
CASP8,DFFB,0.9787588832376528
CXCR1,ITGB2,-0.782472165378849
BATF,MYC,0.9855575932973234
CCL4,GZMB,0.9999184382044791
GZMA,PTPRC,0.9868441793597695
CXCL1,CXCL3,0.9169197200204008
ARHGDIG,RAC2,-0.9496210688177793
PFN1,TLR10,0.9129435847871858
CXCR4,IL1B,0.7937507197362242
GAS6,SOCS3,0.9798903894294467
DGAT2,SREBF1,0.9999943789456605
CXCR1,IL1B,-0.7721700236234486
CR1,FCGR3B,0.8055952771356071
MUC17,MUC5B,-0.868971601941695
SNRPN,TSSC4,0.8370324058352344
CD22,CD28,0.7734058138335718
CD5,GZMB,0.9856917782588314
MRPL13,RPL22L1,0.9999972961633722
ENTPD8,PDE4B,-0.9911073467557299
CCL2,IL15,0.99931332395105
EGR2,FOS,0.9978077659066485
ARHGDIG,RHOH,-0.9817424956832353
DDX3Y,USP9Y,0.9168380392093113
FADS2,PLA2G10,-0.9051154447392699
IRF8,PAX5,-0.7444003962579833
IFI44L,MRPL36,0.9819916470055094
CD40,FCGR2A,0.8351443862918773
FCGR2B,TNF,-0.7831942025685285
TNFRSF12A,TNFSF12,0.9984474342723536
MMP9,VCAM1,0.7741633809790558
PDCD1LG2,PTPRC,0.9885473767074624
RPS28,SEC61G,-0.8677139605168045
AKT1,PKM,-0.999070965700126
CD4,LILRB1,0.7135025421175043
CCL22,CCL4,0.8101778744814487
CTLA4,CXCL9,0.972063333141425
CCL2,CXCL5,0.7899337356234518
CXCL13,TNF,-0.9569867787608067
CCL4,VCAM1,0.9851046499375364
MMP2,VCAM1,-0.9586684468708038
AKT1,CREB3L3,-0.9917860128483723
AKT1,ATF3,0.9999995910717439
IGF2R,PLAUR,0.9779089342053148
CDH1,RPL39,0.9753720818343822
KRT1,TRPV3,0.8796136591232404
CD274,IL1B,0.7476894110272836
IL1B,SOCS3,0.95692982945402
EEF1D,IMP3,0.9994086571545898
GNG2,RASD1,0.7860860081488841
ACSL1,SCD,0.9853144351775852
CASP5,IL1B,0.9638802025031012
RPL22L1,RPS4X,0.8802628616347555
CTLA4,JAK3,0.7534226004553453
RPS4Y1,USP9Y,0.9688571759701353
IFNGR1,PIK3CD,0.9877806401779815
SDHB,SDHC,0.9949420098829315
CYP2C19,PLA2G10,-0.7138904587403633
IL1B,PTGS2,0.9853806326761947
AKT1,CYFIP2,-0.7616464194534645
CD3E,FCGR3A,-0.7401757999777221
IMP3,RPL22L1,0.9999994692486452
CD28,CD7,-0.9956080366005202
ATF3,DUSP1,0.9998739727374825
ACKR1,CXCL3,-0.8138782410093816
MNDA,TLR8,0.9633160172854477
FCGR3B,PTPRC,0.9226281784735438
CCL11,TNF,-0.7823755568328317
AQP10,GK,0.8330177710411066
APOE,LILRB4,-0.9977194262113771
BTLA,PTPN6,-0.9271388272886294
CTLA4,IL2RB,0.9920940489451554
ABCB1,CYP2C9,0.7130683149175655
CDH1,NCSTN,0.9977453881975703
EIF1AY,ZFY,0.9226655766699775
CTLA4,TNF,0.9954182343475497
CXCL9,GBP5,0.837086516454218
CHCHD10,CHCHD3,-0.965192861484456
CD22,PTPRC,0.8748440874583158
CXCL3,CXCL5,0.8312975069941667
GNB2,RGS13,0.9917603694198136
ANPEP,CD5,-0.8659629145066011
ALDH18A1,PSAT1,0.954260689712958
AKT1,CHUK,0.999908494963515
PLA2G12B,SELENOI,0.9133233077153858
BTK,PIK3CD,0.7838605120783129
CCL17,IL33,0.8048928875639704
CCL20,CXCL8,0.8585997154961368
GABPA,TFB2M,0.9842462010040838
BMP4,GREM2,-0.9727859037651305
ITK,PLCG2,0.8894091787688471
CTLA4,IL1B,0.9759759498134705
CD79B,TNFRSF13C,0.7356755387270076
CD19,VPREB3,0.7632868271954106
FOXF2,TPPP,-0.8207632171828628
CD4,S1PR1,-0.9851968933467933
TNFRSF12A,TRAF1,0.97764535955468
CD24,CR2,0.7819121861465255
ITK,RHOH,0.8904882021590317
IL1B,MMP2,-0.9627597009667493
IL1B,TNFSF13B,0.8097908625160508
CCL17,IL16,0.9483087532408235
CXCL1,PLAUR,0.9341745078801379
FOS,MAP2K1,0.9909539623963184
EPSTI1,IFI44,0.9696351237483624
GPT,TGFB1,0.7062359575085323
APOE,TYROBP,0.8329606822834976
CASP8,PTGS2,0.9987879411225818
ITK,LAT,0.9012028772958023
GABPA,MYC,0.9892943022040751
ARSB,ARSL,-0.7869140670223459
MMP3,OSM,0.8472694312076203
IL27RA,OSM,0.7500394518335892
NDUFA13,SDHC,-0.8530758475329684
RPL39,SEC61G,0.984911311790827
C3,LTF,0.7599358505636653
IMP3,MRPL36,0.9997675135129256
CYP2C19,MGST3,0.7760999304195324
CD1C,CD40,-0.8794280829268545
TNF,ZFP36,0.9415665763159741
GUCA2A,SLC26A3,-0.8375734542006232
RTN4R,ZDHHC8,-0.9126116295897979
ATF3,EGR2,0.9999411793684164
APOE,SERPINE1,-0.7528301094573894
CD7,FCGR3A,-0.8169868948830432
CD7,FCGR3B,-0.7602981489584101
CCR7,S1PR1,-0.9969647147062963
CLEC4E,TLR8,0.959429314604023
CCL2,FCGR2A,0.8786502266174898
CD37,CD53,-0.9715759630706169
GNB2,VIPR1,-0.9848595083802018
CXCL1,MMP7,0.9095005960631384
GNB2,NRAS,0.9973850852395029
PTPRC,VCAM1,0.9812949055634004
CXCL10,CXCR2,-0.8035916958972911
SOCS3,TGFB1,-0.7021343782049194
CD83,FCGR3A,0.9410379790733723
CD19,FCER2,0.7618865711480488
CTLA4,FCGR3A,0.9626638497863498
CTLA4,FCGR3B,0.9361843116354139
AKT1,TXN,0.9744386146214246
CD28,CD4,-0.9691127284706244
IFNGR1,IL23A,0.9973981045882154
ANO1,CLCA4,0.8818061730613911
CCL4,CXCL8,0.7385034991981525
CDH1,PTPRC,0.9990758768460808
ATF3,HSPA1A,0.999945922172166
AICDA,CD40,0.9947199865213445
CD40,FCGR2B,-0.9972785887398226
CCL19,TNFSF13B,0.894429358669074
MMP9,PTGS2,0.7726555361782752
CXCL8,FPR1,0.7637734035239601
HK2,SLC2A3,0.9956239529387904
GZMA,IL2RB,0.9913205844128977
CD83,LAMP3,0.827394256660321
GZMA,TNF,0.9971251936028827
MMP10,MMP2,-0.9003226903689029
DERA,TKT,0.9697025257398351
PCDH11Y,RPS4Y1,0.7920410706202343
GZMA,ITGB2,0.9969562722158689
RPS7,SELENOP,0.8019578707759417
CCL4,PTGS2,0.9998962114340414
CD79B,PTPRC,-0.7641179674978105
MYC,NFKB2,-0.8459360282889293
ABCG5,ABCG8,0.846258423614116
CD207,CD83,-0.9253023139390606
PLA2G10,SELENOI,-0.9061647321386539
CD79A,TCL1A,0.7139451506297001
CHUK,PTGS2,0.9997157170794205
MT-ND6,NDUFB3,-0.9818247005613043
FCGR2A,PLCG2,0.8809532172523147
HAAO,TDO2,-0.762887352847488
SNRPA1,SRSF1,0.9998964065668577
TNF,TNFRSF12A,0.9997464187902686
SERPINA1,SLPI,-0.7718373243222001
SPP1,TNF,0.7167764269844615
CCR7,LTB,0.8491806496033024
CA2,CA9,0.8977142575687113
CD28,CD5,0.9783161789276136
ACKR1,CXCL8,-0.7859648215921126
FZD7,SDCBP,0.8194696786428425
CCL22,IL15,0.985296886290319
GUCA2B,PYY,0.7199172372011439
IL1B,SERPINE1,0.9741036365056326
GPT,IL1B,-0.7300685057388517
SCNN1B,TSC22D3,0.7098260665097196
CHMP5,VPS28,0.7763703993046948
SEC61B,SPCS2,0.9997419729513066
CD22,CXCL9,0.8627652606342732
EPHA2,SLA,0.9979383144508346
CLDN7,MUC2,0.7955333977334189
CD28,GZMB,0.9990890752674191
PLAUR,SERPINE1,0.9530941794785116
ITGB2,PTPRC,0.9857634856470762
IFNGR1,SOCS3,0.9692512703758627
CD79A,VPREB3,0.7867830404724464
FABP2,MLXIPL,-0.963341284088237
CD28,LILRB2,0.759471108903997
IDO1,IL4I1,0.9688174452241078
DPP4,IGF2R,0.8442076310141658
PLAU,PLAUR,0.974888013131446
PTPRC,RAC2,0.969163445900048
EPHA2,SLC7A11,0.9999010538710341
IL1B,IL33,0.7829854665991661
S1PR1,SELL,-0.9999648605964456
MMP1,PLAU,0.9997989129887038
C7,SLC25A5,0.9951539007871399
PIK3CD,PREX1,0.9131126231743402
IGFBP2,TGFB1,0.845104390538167
FCGR3B,TNF,0.9645018103930253
COL18A1,COL8A1,0.9343354910209839
HSPBP1,RPS10,0.7972530478345771
CCN1,DUSP1,0.9657750707826668
AKT1,ARHGDIG,-0.9988157632021565
AKT1,APOE,-0.9096596598943556
FCGR3B,ITGB2,0.9533065989375307
CXCL8,GNG2,0.7879964069981126
FOS,SOCS1,0.9934134151044636
CD1C,CD79A,0.7596444854548388
GZMB,IGF2R,0.9996029667266277
CD38,CTLA4,0.9839416329660947
CES2,UGT2B15,-0.9799448332343704
DPP4,GCG,0.8034733535989655
HK2,PFKFB3,0.9952866091909817
PPIL1,SNRPA1,0.9886893323280719
IMP3,RPS7,0.9997633160155546
HSPB1,HSPB8,-0.8789826456267168
PAX5,RHOH,-0.9651788237851656
ANPEP,CXCL8,-0.8186553288462206
CNR1,GNB2,0.7576578895772799
GBP5,IL1B,0.8072751065883998
CD4,ITGB2,-0.8018694462371269
CD3E,CD48,-0.8614079647170753
MMP10,SERPINE1,0.9019490297292646
FCGR3B,IL1B,0.9309829941100418
INPP5D,JAK3,0.8094279883980963
CCL19,CD83,0.8220131505029448
CD69,FCGR3A,0.9613915409502001
HKDC1,PFKFB3,0.9959078564887474
CD38,CR2,0.781804938828529
MUC2,TFF1,-0.9334031011963223
ADAM8,CP,0.7833177525147712
CXCL8,OSM,0.8617349425582977
ACSL1,AQP9,0.855274130718532
IL1B,S100A12,0.8085196543777301
CCR7,JAK3,0.8089651143637075
CD79A,FCER2,0.8050382685237787
EIF4A3,SRSF1,0.999899415364689
PIK3CD,RAC2,0.9551542149228426
PIK3CD,SOCS1,0.9691195284985086
CSF3R,FPR1,0.7475146075856035
CCL4,TNFSF8,-0.7083748472723014
CXCL5,MMP3,0.8216605399464335
NDUFB3,SLC25A23,-0.997389578936424
CCL4,CXCR1,-0.999979860432708
HSPBP1,LRRK2,-0.9983491326490954
IMP3,RPL26,-0.9999837305422906
FGF7,OSM,0.8360732723757601
CLDN15,CLDN8,-0.8677117019953984
RPL30,RPS10,-0.8518970626370919
CD40,CD5,0.9209503804551495
CXCL8,TNFSF11,0.8273898985348722
C7,C8G,-0.9623110024031295
PIK3CD,PLCG2,0.9715915909461688
FCMR,VPREB3,0.8887353123611035
ALDH1A2,UGT1A1,-0.7334438859339515
GBP1,GBP5,0.7237298489608764
CCR7,ITGB2,-0.8311433110878106
NFATC1,TYROBP,-0.8083538870449845
BACH2,BATF,0.8051132863347626
CR2,MS4A1,0.8887703388084833
RPS10,SELENOP,-0.7436999651448298
EIF1AY,MRPL36,-0.8081533268426644
IMP3,LOC102724159,0.9282085460140701
DEFA6,REG1A,0.7060639397576441
PTGS2,VCAM1,0.9932569141209016
MMP9,SERPINE1,0.7802386773173812
FADS2,PLA2G12B,0.9613935901931486
GCG,IL1B,0.9546922051463447
CD40,GZMB,0.9995758759358575
CCN1,EGR2,0.9683676660604098
CCL4,CD69,0.9996020360839413
FN1,TNF,-0.7405403950875891
FGF7,FN1,-0.8068917926211873
HSPA1A,TNF,0.9997916841933908
ITGB2,TGFB1,-0.8973262383919914
MMP3,MMP7,0.8995823367116801
AKT1,PTPRC,0.9995477070137322
MRPL13,RPL39,0.9666029321756067
CD69,CXCL10,0.9961082500547859
RNASE2,S100A12,-0.8659117991235138
