geneA,geneB,weight
GSTA2,GSTP1,-0.7444212463227554
FN1,PLAUR,0.7487901851277395
AKT1,CRTC2,0.7511687182455777
NKG7,TYROBP,0.7489263345041657
PDZK1,PDZK1IP1,-0.8449015035577093
CD4,CD9,-0.7401432888831949
CDA,PNP,0.7558610242772777
PLA2G12B,PLB1,0.8095750095672483
CYP2C9,CYP4F2,0.8900437576024104
CPS1,OAT,0.8338205251429218
ADAM15,SRC,0.9646220104754081
CD40,MS4A1,0.7694178130881137
CXCL8,TNFAIP6,0.9033650416591736
CYP2C18,GSTA1,0.8018090325902099
LCN2,SAA1,0.7109955202509094
GNE,PGGHG,0.7920226515309204
DDX3Y,KDM5D,0.9734206240754744
BTLA,CD69,0.7932252150477588
CXCL8,FGF7,0.7560220929683992
FN1,MMP7,0.7019261152496948
BACH2,LEF1,0.8485783372974968
JUND,MYC,0.9978910888142459
EIF1AY,RPS4X,-0.7222017383201431
IL1B,IL23A,-0.7993819639690017
KDM5D,ZFY,0.9841485430877777
CXCL6,IL1B,0.7438086483066934
CASP8,DFFB,0.716856180144547
BATF,MYC,-0.9845815173439096
APOA4,APOD,-0.7083678101640394
COL18A1,LAMA1,-0.7167064068638351
CXCL1,CXCL3,0.7057091903912545
APOB,CD4,-0.8785643423029691
DGAT2,SREBF1,0.7056910970691966
CXCR1,IL1B,0.7081893672233966
SNRPN,TSSC4,0.9221258880438888
MYL9,SRC,0.899732453908718
FABP6,SLC51A,0.7351372627585456
MRPL13,RPL22L1,0.8507841697665242
CD19,CD52,0.8478618478762904
CCL2,IL15,0.8064280276699672
APOB,MTTP,0.8978296982593063
CHAC1,GSTA1,-0.7561430880969523
DDX3Y,USP9Y,0.9211149422176144
CARD11,ITK,-0.8389564886518532
GUCA2A,TMIGD1,0.8389424308964217
IL1B,SOCS3,0.7520807861672023
RPL39,RPLP0,-0.7078626266976886
RPS4Y1,USP9Y,0.9612176574617142
ALDOB,SLC2A2,0.9002747179318684
SDHB,SDHC,0.7841225793128979
CXCR1,FCGR3B,0.821633877396424
PDZK1,SLC16A9,0.8833043722177402
AQP10,GK,0.7887887554144645
CTLA4,IL2RB,0.7036443409434266
ABCB1,CYP2C9,0.8311176325796729
CDH1,NCSTN,0.7919852859126509
EIF1AY,ZFY,0.9666380946303246
CHCHD10,CHCHD3,-0.7621355450557434
CD22,PTPRC,0.8851872581071896
CXCL3,CXCL5,0.7166994656416814
PLA2G12B,SELENOI,0.811970519547188
CYP2J2,CYP4F2,0.9483161036497776
ACKR3,CXCL8,0.8125585525394018
CCL17,IL33,0.7019568296099855
GABPA,TFB2M,0.8950349753231667
ITK,PLCG2,0.7804299482241128
CD79B,TNFRSF13C,0.8792332009502881
SELENOI,SELENOP,0.8653642140295482
ITK,RHOH,0.7753596138729003
CCL17,IL16,0.799480447480573
CD9,ITGA5,-0.7421130545057882
FOS,MAP2K1,0.7483764696453963
APOE,TYROBP,0.8059944086836053
GABPA,MYC,-0.9999541671034782
NDUFA13,SDHC,-0.72280291264991
PKLR,TKT,-0.7436771838737453
CYP2C19,MGST3,0.7035239355353686
CCR7,PTPRC,0.8189774503960859
CYP2C19,GSTA2,0.8351771327394175
OAT,THNSL2,0.8560494231774148
GUCA2A,SLC26A3,0.7260392553137657
ESPL1,STAG3,0.7029719168497714
CLEC4E,TLR8,-0.8681775043084627
GNB2,NRAS,0.8550678474272141
PTPRC,VCAM1,0.7083356134791989
AIM2,SP140,0.7342664939437727
RPS4X,RPS7,-0.7404968389375165
AKT1,TXN,0.7505552064675621
CD28,CD4,-0.7385353268714876
IFNGR1,IL23A,-0.9060407823510934
CCL19,TNFSF13B,0.7074905834075957
IGLL5,MYC,0.980326675412822
